"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Não";"73928";"https://dadosabertos.camara.leg.br/api/v2/deputados/73928";"Ann Pontes";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"PA";"52";"https://www.camara.leg.br/internet/deputado/bandep/73928.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Não";"73434";"https://dadosabertos.camara.leg.br/api/v2/deputados/73434";"Arnaldo Faria de Sá";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"SP";"52";"https://www.camara.leg.br/internet/deputado/bandep/73434.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"74263";"https://dadosabertos.camara.leg.br/api/v2/deputados/74263";"Cláudio Magrão";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"SP";"52";"https://www.camara.leg.br/internet/deputado/bandep/74263.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"74060";"https://dadosabertos.camara.leg.br/api/v2/deputados/74060";"Daniel Almeida";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"BA";"52";"https://www.camara.leg.br/internet/deputado/bandep/74060.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"74381";"https://dadosabertos.camara.leg.br/api/v2/deputados/74381";"Dra. Clair";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PR";"52";"https://www.camara.leg.br/internet/deputado/bandep/74381.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Não";"74152";"https://dadosabertos.camara.leg.br/api/v2/deputados/74152";"Isaias Silvestre";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"MG";"52";"https://www.camara.leg.br/internet/deputado/bandep/74152.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Não";"74054";"https://dadosabertos.camara.leg.br/api/v2/deputados/74054";"João Fontes";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SE";"52";"https://www.camara.leg.br/internet/deputado/bandep/74054.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Não";"73666";"https://dadosabertos.camara.leg.br/api/v2/deputados/73666";"Jovair Arantes";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"GO";"52";"https://www.camara.leg.br/internet/deputado/bandep/73666.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"74082";"https://dadosabertos.camara.leg.br/api/v2/deputados/74082";"Paulo Rocha";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PA";"52";"https://www.camara.leg.br/internet/deputado/bandep/74082.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"73676";"https://dadosabertos.camara.leg.br/api/v2/deputados/73676";"Sandro Mabel";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36795";"GO";"52";"https://www.camara.leg.br/internet/deputado/bandep/73676.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"73577";"https://dadosabertos.camara.leg.br/api/v2/deputados/73577";"Tarcísio Zimmermann";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RS";"52";"https://www.camara.leg.br/internet/deputado/bandep/73577.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"74283";"https://dadosabertos.camara.leg.br/api/v2/deputados/74283";"Vicentinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"52";"https://www.camara.leg.br/internet/deputado/bandep/74283.jpg"
"104509-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104509-28";"2003-11-18T16:25:57";"Sim";"74490";"https://dadosabertos.camara.leg.br/api/v2/deputados/74490";"Washington Luiz";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MA";"52";"https://www.camara.leg.br/internet/deputado/bandep/74490.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"73477";"https://dadosabertos.camara.leg.br/api/v2/deputados/73477";"Alceu Collares";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RS";"52";"https://www.camara.leg.br/internet/deputado/bandep/73477.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"73430";"https://dadosabertos.camara.leg.br/api/v2/deputados/73430";"Aloysio Nunes Ferreira";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"SP";"52";"https://www.camara.leg.br/internet/deputado/bandep/73430.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"74471";"https://dadosabertos.camara.leg.br/api/v2/deputados/74471";"André de Paula";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"PE";"52";"https://www.camara.leg.br/internet/deputado/bandep/74471.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"73492";"https://dadosabertos.camara.leg.br/api/v2/deputados/73492";"Antonio Carlos Biscaia";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RJ";"52";"https://www.camara.leg.br/internet/deputado/bandep/73492.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"74058";"https://dadosabertos.camara.leg.br/api/v2/deputados/74058";"Antonio Carlos Magalhães Neto";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"BA";"52";"https://www.camara.leg.br/internet/deputado/bandep/74058.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"74222";"https://dadosabertos.camara.leg.br/api/v2/deputados/74222";"Asdrubal Bentes";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"PA";"52";"https://www.camara.leg.br/internet/deputado/bandep/74222.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"74149";"https://dadosabertos.camara.leg.br/api/v2/deputados/74149";"César Medeiros";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MG";"52";"https://www.camara.leg.br/internet/deputado/bandep/74149.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"74171";"https://dadosabertos.camara.leg.br/api/v2/deputados/74171";"Chico Alencar";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RJ";"52";"https://www.camara.leg.br/internet/deputado/bandep/74171.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"74230";"https://dadosabertos.camara.leg.br/api/v2/deputados/74230";"Colbert Martins";"PPS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36813";"BA";"52";"https://www.camara.leg.br/internet/deputado/bandep/74230.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"74538";"https://dadosabertos.camara.leg.br/api/v2/deputados/74538";"Coriolano Sales";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"BA";"52";"https://www.camara.leg.br/internet/deputado/bandep/74538.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"74187";"https://dadosabertos.camara.leg.br/api/v2/deputados/74187";"Darci Coelho";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"TO";"52";"https://www.camara.leg.br/internet/deputado/bandep/74187.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"74580";"https://dadosabertos.camara.leg.br/api/v2/deputados/74580";"Edmar Moreira";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36795";"MG";"52";"https://www.camara.leg.br/internet/deputado/bandep/74580.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"74469";"https://dadosabertos.camara.leg.br/api/v2/deputados/74469";"Inaldo Leitão";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36795";"PB";"52";"https://www.camara.leg.br/internet/deputado/bandep/74469.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"74154";"https://dadosabertos.camara.leg.br/api/v2/deputados/74154";"João Paulo Gomes da Silva";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36795";"MG";"52";"https://www.camara.leg.br/internet/deputado/bandep/74154.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Não";"74274";"https://dadosabertos.camara.leg.br/api/v2/deputados/74274";"José Eduardo Cardozo";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"52";"https://www.camara.leg.br/internet/deputado/bandep/74274.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"74287";"https://dadosabertos.camara.leg.br/api/v2/deputados/74287";"José Roberto Arruda";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"DF";"52";"https://www.camara.leg.br/internet/deputado/bandep/74287.jpg"
"104964-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104964-30";"2003-11-18T17:39:21";"Sim";"74252";"https://dadosabertos.camara.leg.br/api/v2/deputados/74252";"Juíza Denise Frossard";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RJ";"52";"https://www.camara.leg.br/internet/deputado/bandep/74252.jpg"
