Município,Taxa de analfabetismo,ibge
ALTA FLORESTA D'OESTE,"12,0",110001
ARIQUEMES,"7,9",110002
CABIXI,"13,8",110003
CACOAL,"8,3",110004
CEREJEIRAS,"10,4",110005
COLORADO DO OESTE,"12,9",110006
CORUMBIARA,"12,0",110007
COSTA MARQUES,"9,1",110008
ESPIGAO D'OESTE,"9,4",110009
GUAJARA-MIRIM,"9,0",110010
JARU,"10,6",110011
JI-PARANA,"7,6",110012
MACHADINHO D'OESTE,"12,7",110013
NOVA BRASILANDIA D'OESTE,"11,2",110014
OURO PRETO DO OESTE,"10,0",110015
PIMENTA BUENO,"8,0",110018
PORTO VELHO,"5,2",110020
PRESIDENTE MEDICI,"11,5",110025
RIO CRESPO,"11,4",110026
ROLIM DE MOURA,"8,9",110028
SANTA LUZIA D'OESTE,"13,4",110029
VILHENA,"6,3",110030
SAO MIGUEL DO GUAPORE,"10,3",110032
NOVA MAMORE,"12,6",110033
ALVORADA D'OESTE,"13,3",110034
ALTO ALEGRE DOS PARECIS,"14,5",110037
ALTO PARAISO,"13,5",110040
BURITIS,"11,1",110045
NOVO HORIZONTE DO OESTE,"14,4",110050
CACAULANDIA,"13,7",110060
CAMPO NOVO DE RONDONIA,"11,3",110070
CANDEIAS DO JAMARI,"11,5",110080
CASTANHEIRAS,"13,1",110090
CHUPINGUAIA,"10,8",110092
CUJUBIM,"13,0",110094
GOVERNADOR JORGE TEIXEIRA,"14,4",110100
ITAPUA DO OESTE,"12,3",110110
MINISTRO ANDREAZZA,"12,0",110120
MIRANTE DA SERRA,"13,1",110130
MONTE NEGRO,"13,9",110140
NOVA UNIAO,"14,3",110143
PARECIS,"15,4",110145
PIMENTEIRAS DO OESTE,"8,9",110146
PRIMAVERA DE RONDONIA,"14,9",110147
SAO FELIPE D'OESTE,"16,9",110148
SAO FRANCISCO DO GUAPORE,"9,1",110149
SERINGUEIRAS,"11,0",110150
TEIXEIROPOLIS,"11,9",110155
THEOBROMA,"14,5",110160
URUPA,"14,8",110170
VALE DO ANARI,"15,5",110175
VALE DO PARAISO,"11,7",110180
ACRELANDIA,"15,9",120001
ASSIS BRASIL,"20,4",120005
BRASILEIA,"20,3",120010
BUJARI,"25,1",120013
CAPIXABA,"21,8",120017
CRUZEIRO DO SUL,"18,7",120020
EPITACIOLANDIA,"15,7",120025
FEIJO,"36,8",120030
JORDAO,"25,6",120032
MANCIO LIMA,"23,1",120033
MANOEL URBANO,"31,6",120034
MARECHAL THAUMATURGO,"34,8",120035
PLACIDO DE CASTRO,"18,8",120038
PORTO WALTER,"34,9",120039
RIO BRANCO,"8,9",120040
RODRIGUES ALVES,"31,6",120042
SANTA ROSA DO PURUS,"33,1",120043
SENADOR GUIOMARD,"18,0",120045
SENA MADUREIRA,"24,1",120050
TARAUACA,"32,1",120060
XAPURI,"20,8",120070
PORTO ACRE,"22,2",120080
ALVARAES,"27,1",130002
AMATURA,"25,2",130006
ANAMA,"14,4",130008
ANORI,"17,0",130010
APUI,"11,1",130014
ATALAIA DO NORTE,"38,6",130020
AUTAZES,"15,6",130030
BARCELOS,"24,6",130040
BARREIRINHA,"8,9",130050
BENJAMIN CONSTANT,"21,5",130060
BERURI,"27,1",130063
BOA VISTA DO RAMOS,"6,3",130068
BOCA DO ACRE,"26,8",130070
BORBA,"15,7",130080
CAAPIRANGA,"14,7",130083
CANUTAMA,"27,8",130090
CARAUARI,"27,2",130100
CAREIRO,"13,6",130110
CAREIRO DA VARZEA,"19,6",130115
COARI,"17,3",130120
CODAJAS,"18,0",130130
EIRUNEPE,"29,6",130140
ENVIRA,"34,2",130150
FONTE BOA,"25,2",130160
GUAJARA,"34,3",130165
HUMAITA,"16,0",130170
IPIXUNA,"40,2",130180
IRANDUBA,"12,1",130185
ITACOATIARA,"8,9",130190
ITAMARATI,"39,4",130195
ITAPIRANGA,"6,7",130200
JAPURA,"29,8",130210
JURUA,"32,5",130220
JUTAI,"30,6",130230
LABREA,"29,2",130240
MANACAPURU,"15,3",130250
MANAQUIRI,"12,6",130255
MANAUS,"3,9",130260
MANICORE,"18,3",130270
MARAA,"23,4",130280
MAUES,"9,4",130290
NHAMUNDA,"9,1",130300
NOVA OLINDA DO NORTE,"10,4",130310
NOVO AIRAO,"18,1",130320
NOVO ARIPUANA,"21,0",130330
PARINTINS,"5,8",130340
PAUINI,"31,1",130350
PRESIDENTE FIGUEIREDO,"7,7",130353
RIO PRETO DA EVA,"12,1",130356
SANTA ISABEL DO RIO NEGRO,"38,5",130360
SANTO ANTONIO DO ICA,"24,4",130370
SAO GABRIEL DA CACHOEIRA,"16,7",130380
SAO PAULO DE OLIVENCA,"25,1",130390
SAO SEBASTIAO DO UATUMA,"10,4",130395
