Municipio,Total,UF
Acrelândia,88.35,AC
Assis Brasil,85.3,AC
Brasiléia,89.01,AC
Bujari,81.26,AC
Capixaba,84.27,AC
Cruzeiro do Sul,86.24,AC
Epitaciolândia,88.78,AC
Feijó,77.35,AC
Jordão,81.88,AC
Mâncio Lima,84.27,AC
Manoel Urbano,77.84,AC
Marechal Thaumaturgo,77.17,AC
Plácido de Castro,84.38,AC
Porto Walter,81.1,AC
Rio Branco,93.04,AC
Rodrigues Alves,79.96,AC
Santa Rosa do Purus,77.4,AC
Senador Guiomard,87.04,AC
Sena Madureira,82.41,AC
Tarauacá,78.51,AC
Xapuri,85.39,AC
Porto Acre,83.98,AC
Água Branca,77.11,AL
Anadia,71.28,AL
Arapiraca,84.74,AL
Atalaia,75.52,AL
Barra de Santo Antônio,78.71,AL
Barra de São Miguel,85.45,AL
Batalha,76.7,AL
Belém,76.03,AL
Belo Monte,72.95,AL
Boca da Mata,77.08,AL
Branquinha,67.1,AL
Cacimbinhas,70.03,AL
Cajueiro,72.56,AL
Campestre,76.71,AL
Campo Alegre,78.44,AL
Campo Grande,67.42,AL
Canapi,70.1,AL
Capela,76.2,AL
Carneiros,77.73,AL
Chã Preta,72.94,AL
Coité do Nóia,71.66,AL
Colônia Leopoldina,74.12,AL
Coqueiro Seco,81.46,AL
Coruripe,81.77,AL
Craíbas,71.09,AL
Delmiro Gouveia,82.52,AL
Dois Riachos,72.73,AL
Estrela de Alagoas,65.8,AL
Feira Grande,69.56,AL
Feliz Deserto,75.63,AL
Flexeiras,74.77,AL
Girau do Ponciano,69.76,AL
Ibateguara,70.22,AL
Igaci,71.01,AL
Igreja Nova,72.01,AL
Inhapi,71.31,AL
Jacaré dos Homens,76.23,AL
Jacuípe,75.88,AL
Japaratinga,80.06,AL
Jaramataia,68.76,AL
Jequiá da Praia,79.26,AL
Joaquim Gomes,69.39,AL
Jundiá,72.3,AL
Junqueiro,74.9,AL
Lagoa da Canoa,72.44,AL
Limoeiro de Anadia,73.79,AL
Maceió,91.58,AL
Major Isidoro,72.45,AL
Maragogi,81.12,AL
Maravilha,72.13,AL
Marechal Deodoro,86.53,AL
Maribondo,77.4,AL
Mar Vermelho,79.24,AL
Mata Grande,68.92,AL
Matriz de Camaragibe,76.66,AL
Messias,79.0,AL
Minador do Negrão,67.48,AL
Monteirópolis,73.54,AL
Murici,76.35,AL
Novo Lino,73.33,AL
Olho d'Água das Flores,79.95,AL
Olho d'Água do Casado,75.24,AL
Olho d'Água Grande,67.88,AL
Olivença,72.68,AL
Ouro Branco,76.55,AL
Palestina,78.08,AL
Palmeira dos Índios,81.17,AL
Pão de Açúcar,75.88,AL
Pariconha,77.76,AL
Paripueira,84.48,AL
Passo de Camaragibe,76.25,AL
Paulo Jacinto,74.89,AL
Penedo,82.05,AL
Piaçabuçu,77.17,AL
Pilar,82.51,AL
Pindoba,76.64,AL
Piranhas,79.24,AL
Poço das Trincheiras,73.27,AL
Porto Calvo,78.87,AL
Porto de Pedras,77.92,AL
Porto Real do Colégio,72.69,AL
Quebrangulo,74.89,AL
