Sigla,Código,Município,Programa Bolsa Família (PBF) - número de benefícios em dezembro (2021),Programa Bolsa Família (PBF) - valor total dos benefícios em dezembro (2021),
AC,1200013,Acrelândia,1730,375.211,
AC,1200054,Assis Brasil,1364,491.023,
AC,1200104,Brasiléia,3208,773.171,
AC,1200138,Bujari,1323,323.414,
AC,1200179,Capixaba,1325,326.419,
AC,1200203,Cruzeiro do Sul,10115,3736.845,
AC,1200252,Epitaciolândia,1911,459.773,
AC,1200302,Feijó,4731,1635.773,
AC,1200328,Jordão,1369,600.427,
AC,1200336,Mâncio Lima,3206,1208.159,
AC,1200344,Manoel Urbano,1662,653.342,
AC,1200351,Marechal Thaumaturgo,2768,1009.072,
AC,1200385,Plácido de Castro,1610,370.369,
AC,1200393,Porto Walter,1460,570.149,
AC,1200401,Rio Branco,25409,6823.174,
AC,1200427,Rodrigues Alves,2496,846.798,
AC,1200435,Santa Rosa do Purus,1187,509.783,
AC,1200450,Senador Guiomard,3810,1021.812,
AC,1200500,Sena Madureira,6669,2306.443,
AC,1200609,Tarauacá,7129,2910.148,
AC,1200708,Xapuri,2054,500.285,
AC,1200807,Porto Acre,2582,690.123,
AL,2700102,Água Branca,2986,1006.19,
AL,2700201,Anadia,2725,582.175,
AL,2700300,Arapiraca,20805,4628.948,
AL,2700409,Atalaia,7362,1620.562,
AL,2700508,Barra de Santo Antônio,3670,770.938,
AL,2700607,Barra de São Miguel,1186,293.158,
AL,2700706,Batalha,3077,800.175,
AL,2700805,Belém,846,202.665,
AL,2700904,Belo Monte,1325,371.638,
AL,2701001,Boca da Mata,3853,930.727,
AL,2701100,Branquinha,1808,355.374,
AL,2701209,Cacimbinhas,1901,470.836,
AL,2701308,Cajueiro,3461,721.283,
AL,2701357,Campestre,1338,318.537,
AL,2701407,Campo Alegre,6012,1083.848,
AL,2701506,Campo Grande,2195,702.509,
AL,2701605,Canapi,4125,1223.551,
AL,2701704,Capela,2207,521.709,
AL,2701803,Carneiros,1672,555.002,
AL,2701902,Chã Preta,1225,391.468,
AL,2702009,Coité do Nóia,1661,412.982,
AL,2702108,Colônia Leopoldina,3883,959.144,
AL,2702207,Coqueiro Seco,793,167.03,
AL,2702306,Coruripe,5719,1182.139,
AL,2702355,Craíbas,3929,1165.618,
AL,2702405,Delmiro Gouveia,6431,1517.184,
AL,2702504,Dois Riachos,1921,359.13,
AL,2702553,Estrela de Alagoas,2712,722.598,
AL,2702603,Feira Grande,4247,1011.873,
AL,2702702,Feliz Deserto,704,132.871,
AL,2702801,Flexeiras,2083,478.335,
AL,2702900,Girau do Ponciano,5846,1855.006,
AL,2703007,Ibateguara,2575,629.475,
AL,2703106,Igaci,4827,1374.203,
AL,2703205,Igreja Nova,3612,723.441,
AL,2703304,Inhapi,2934,783.372,
AL,2703403,Jacaré dos Homens,1095,217.491,
AL,2703502,Jacuípe,1084,202.111,
AL,2703601,Japaratinga,1805,427.231,
