,0
0,"""Paulo Abi-Ackel"""
1,"""Greyce Elias"""
2,"""Gelson Azevedo"""
3,"""Lincoln Portela"""
4,"""Pedro Paulo"""
5,"""Eduardo Barbosa"""
6,"""Pinheirinho"""
7,"""Reinhold Stephanes Junior"""
8,"""Charles Fernandes"""
9,"""Shéridan"""
10,"""Acácio Favacho"""
11,"""Benes Leocádio"""
12,"""Vinicius Carvalho"""
13,"""Átila Lins"""
14,"""Jéssica Sales"""
15,"""Daniel Trzeciak"""
16,"""Alex Manente"""
17,"""Afonso Hamm"""
18,"""Emidinho Madeira"""
19,"""Rose Modesto"""
20,"""Sergio Toledo"""
21,"""Luiz Nishimori"""
22,"""Lauriete"""
23,"""Wilson Santiago"""
24,"""Junior Lourenço"""
25,"""João Carlos Bacelar"""
26,"""Marcelo Moraes"""
27,"""Fábio Faria"""
28,"""Vavá Martins"""
29,"""Guilherme Mussi"""
30,"""Dra. Vanda Milani"""
31,"""Rrenato Queiroz"""
32,"""Renata Abreu"""
33,"""Diego Andrade"""
34,"""Christino Aureo"""
35,"""David Soares"""
36,"""Hercílio Coelho Diniz"""
37,"""Samuel Moreira"""
38,"""Jhonatan de Jesus"""
39,"""Professora Dorinha Seabra Rezende"""
40,"""Júnior Mano"""
41,"""Zé Vitor"""
42,"""Luiz Lauro Filho"""
43,"""Nilson F. Stainsack"""
44,"""Lafayette de Andrada"""
45,"""Flordelis"""
46,"""Carlos Gomes"""
47,"""Capitão Fábio Abreu"""
48,"""Dr. João"""
49,"""Ricardo Guidi"""
50,"""Júlio Cesar"""
51,"""Ricardo Barros"""
52,"""Herculano Passos"""
53,"""Alexandre Serfiotis"""
54,"""Giacobo"""
55,"""José Priante"""
56,"""Tadeu Filippelli"""
57,"""Dr. Zacharias Calil"""
58,"""Carla Dickson"""
59,"""Joaquim Passarinho"""
60,"""Roman"""
61,"""Paes Landim"""
62,"""Paulo Bengtson"""
63,"""Wellington Roberto"""
64,"""Darcísio Perondi"""
65,"""Rosangela Gomes"""
66,"""Marco Bertaiolli"""
67,"""Marcelo Ramos"""
68,"""Antonio Brito"""
69,"""Vinicius Gurgel"""
70,"""Elcione Barbalho"""
71,"""Flávia Arruda"""
72,"""Genecias Noronha"""
73,"""Fausto Pinato"""
74,"""Rubens Bueno"""
75,"""Da Vitória"""
76,"""Carmen Zanotto"""
77,"""Schiavinato"""
78,"""Domingos Sávio"""
79,"""Gorete Pereira"""
80,"""Roberto de Lucena"""
81,"""Leandre"""
82,"""Marx Beltrão"""
83,"""Marina Santos"""
84,"""Soraya Santos"""
85,"""Igor Timo"""
86,"""Aline Gurgel"""
87,"""Léo Moraes"""
88,"""Juscelino Filho"""
89,"""José Rocha"""
90,"""Gilberto Nascimento"""
91,"""Euclydes Pettersen"""
92,"""Roberto Alves"""
93,"""Giovani Cherini"""
94,"""Aroldo Martins"""
95,"""Lucas Redecker"""
96,"""Pastor Gil"""
97,"""Fernando Coelho Filho"""
98,"""Aureo Ribeiro"""
99,"""Miguel Lombardi"""
100,"""João Marcelo Souza"""
101,"""Sóstenes Cavalcante"""
