Valor da produção - total
Sigla;Código;Município;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
AC;1200013;Acrelândia;;;;45956,5654121745;15985,2594641261;12081,0391182754;2622,44885447483;2588,30244235514;9298,23816630018;8377,39425833597;9688,97978154652;12598,7454685412;14635,6415428444;18939,0087771923;21694,7480392705;20885,9640478338;19296,8132742833;22517,5274405931;20557,223389211;10916,0617036667;21672;21099,7941644491;31157,3971078022;22813,5917542119;27246,2224070299;29625,5322750795;30319,1196149282;19062,4768705461;16442,5869262507;15458,1431242618;16376,5144489436;18333,3894778726;23111,5658608883;
AC;1200054;Assis Brasil;4226,6962629238;2272,8727075031;2568,0010149872;3554,6841920344;2292,2794934743;2734,09361323984;698,543535043241;626,812282491014;780,217713760442;1423,25110194268;1824,02042485778;1195,21211150233;1983,33460160041;2384,44351757863;2146,44953533348;3079,67279796227;2387,17907861142;3297,06924752655;5758,30306504445;2258,4581375385;3665;4484,9179632857;4562,8524175165;5684,3044038166;7640,155014745;5615,2655910635;7429,9066585073;6025,5588644154;5091,2404992102;4580,357035075;4287,13960568485;4351,5775503572;4616,46573490516;
AC;1200104;Brasiléia;63945,0859270987;61159,1067335445;69294,5660338205;49548,4328954512;44398,5952065964;67993,7706768005;5696,0404086651;5644,01231949883;32135,6998934994;36520,5755957452;35487,1300479756;14582,422114333;21353,142645583;19678,3194767767;13274,2991421991;12505,6867377319;10362,4048942884;12218,7740942884;9979,58484317766;6739,59471096463;12050;13496,298004379;12051,5751481208;15238,2318475441;13050,3024394955;11869,0036131577;11255,2428223392;10818,1024844114;9421,7815035418;8091,4771420651;7606,98146429679;8447,81151349648;9238,52093190903;
AC;1200138;Bujari;;;;25497,1480121303;12293,7825874484;6805,92785943939;2543,86270678247;2742,30373589819;10462,1272970583;10048,5819006506;8537,67976090609;6326,48923941811;3470,83555280072;9744,24822965791;6085,47031687777;13026,3974116517;9769,65162420432;16391,6866889506;12146,0751052736;3991,06308414749;14222;21460,766359518;20168,9195332471;18576,4181706252;14659,1832048869;19261,8422882511;19178,7003159146;14584,4592235681;11356,0312584177;9734,9443068828;7790,0978408567;8192,46792627857;8221,66878856818;
AC;1200179;Capixaba;;;;10677,9929867033;44255,142774744;3096,11105257172;1996,6702709986;1607,55736242308;2111,4802814639;7163,93561363108;6831,04678913322;13891,9941755768;5053,32379334971;6249,17354851438;12429,0090804083;13984,3899774821;10211,5222437216;14031,2129282454;8729,95512164649;6879,46081741805;20712;23169,6142701894;32146,0864038939;21948,018179495;26824,2692672757;23520,6111354059;21521,4808222216;17603,663797248;14965,6938345773;12989,8520968962;13204,9599154422;21991,2913964093;25951,442565652;
AC;1200203;Cruzeiro do Sul;24358,6033100483;28334,6060841552;27782,5696858532;8185,2807264297;22630,0018026216;16414,9050348485;13665,2579042834;16216,0660323753;19150,0961624964;19424,8743360619;26019,3804664737;15988,3086119815;17696,1320056589;22435,748572524;18081,7897861317;21241,2555850112;18227,1630550861;17957,3199554345;27278,9281390113;24774,7328097719;53700;51178,6562809189;36529,3326344041;50254,1834262121;34940,9657650298;17761,329206516;16829,57596854;15422,1752878907;17282,34295062;14726,0276658832;14418,6995871648;14854,2747511174;13571,6439342723;
AC;1200252;Epitaciolândia;;;;30920,6027782991;4942,0076377029;11088,0769989651;2412,88579396186;2591,00421943484;8201,29841032016;21429,8227058003;18380,1662118713;23791,6044394339;14517,8573040521;14399,9075000139;15120,9565898042;10182,626686957;8889,9518847386;9877,28537723502;10755,6584225643;4703,40441701489;7889;8995,6855978295;9393,403580428;10772,7314110679;13423,5686785088;11994,5035646922;12294,3639892308;11189,5368533258;10466,4989006652;8375,7829148506;8031,79034939974;9942,06164637498;12191,0467958928;
AC;1200302;Feijó;20010,4783341101;20023,7922531483;11515,9383010363;4406,6842217339;11370,4819288738;17394,0760136128;21931,3564022951;13479,1658506365;11564,2170049444;19868,2993024963;11743,2602105324;6042,80887787479;7680,67221673417;9028,24912870902;7975,39672559832;12281,2920826725;7959,05981740197;8847,03034173152;13149,0367625919;12082,6968241618;18197;19620,8236874661;19561,6795676545;20415,7620168987;31852,2982892417;30561,6384709517;31266,8894704447;25257,5370861793;21270,8912644135;18546,1757867706;18091,0536634771;15147,8965360535;13734,1682937576;
AC;1200328;Jordão;;;;1722,3829760538;2197,5224655953;2875,45280383609;5969,63662655703;4549,79260221926;3836,71416997709;5721,61247012133;7133,54522592894;2805,51534026289;3501,2314853923;4542,43150555481;3201,90312254209;3575,93020818973;3685,84760670477;4761,44894786752;7132,43034728682;3196,32001414475;3650;4024,239893364;5532,7258273503;4452,7714133186;6093,2393957511;7599,2620926446;7095,5862342387;6668,6849298668;4078,1457138831;4156,1458523613;3608,50081532164;3343,7406128737;3094,41220956622;
AC;1200336;Mâncio Lima;5017,945493085;5914,9440519029;6115,0994239376;3504,4660292828;8919,0658335452;6354,26800655866;2971,72062199646;2904,41036068035;4369,73419224908;4269,75330582804;3860,24124567674;4263,54896319506;4557,49014294961;6590,52195710629;4520,06111652298;4604,40571054518;4271,86504417428;4417,18682298183;6466,89198535402;5076,38070089067;10163;14582,9073997654;11422,9534935989;19952,7437995409;30851,2661027969;18729,6676303779;16496,5243124849;14639,5318647581;12588,7275145527;10267,0343599024;9727,33189950626;10302,4368736734;9333,97174620995;
AC;1200344;Manoel Urbano;6208,3153784811;2094,2921356132;2399,6226489252;1252,7568171172;1431,4344874098;1251,54600454736;2377,9586172097;2780,12861501402;2850,49837997627;2448,37333617275;2754,09024545358;6829,18752715294;3867,8824222782;4988,68210800668;2824,84503282188;2544,57785128223;2354,84708206138;3014,82493190336;5314,99866662417;3086,8124424254;4663;5084,0764149473;6337,5325986499;7858,5806719244;10700,0529582772;7529,9970920709;5961,9418354381;5685,3323255086;4986,4173971445;5115,8183027916;4642,81810078968;5489,18691425127;5616,97945057289;
AC;1200351;Marechal Thaumaturgo;;;;2217,7052193281;5464,3316162525;3647,75667441078;3661,53236285166;3288,06270599812;4426,38366321518;3754,80818351712;3555,48535786015;3804,65426069852;4378,91403897409;5762,96020554443;4428,8872341726;4178,63123684279;4440,26085953908;4844,98313993537;5397,60919756338;7928,99873251035;62845;9504,3702000877;11380,1901157402;16721,1630454047;19058,7085991072;12988,216295695;14059,220574269;15512,7391867364;12179,9759768889;10337,8298685407;9734,192167216;9506,99725279711;8158,03491236757;
AC;1200385;Plácido de Castro;24534,318399038;67504,3529106617;96764,0678451328;49236,6444323068;141376,928088314;61194,7383876341;7381,27668695692;6403,21167889528;33585,4113550411;21313,0064512019;24500,1159294325;11407,7051270615;14077,1162814742;14496,4841229326;18868,3576864087;25500,4387493112;10169,7600815111;15171,5812169293;17463,4008291073;15187,9412341043;16547;29747,4324028387;35886,1714314102;22987,8202586816;15964,8773611193;15689,5513180691;13391,8484939454;11116,718583308;10805,5635715926;10507,5143416262;15035,5959681404;27133,6404947503;31856,9242522426;
AC;1200393;Porto Walter;;;;2089,9868553255;5262,0542172088;3265,05252425993;3146,35650575727;2923,32280023827;3893,36364094319;3070,59869229845;2483,19612294995;2818,03065033098;2944,60596980904;4537,43616299006;3736,58385632566;3426,33377148348;3437,96896648779;3831,18180893009;4180,55827696599;5289,97467741256;10893;7711,5108578273;7318,524486727;7642,9828421926;9715,9874190602;6538,3417373228;6399,6668691104;5760,5982684682;3802,3262665484;3967,3578293258;3913,51887195456;4196,59753032731;3548,87847405302;
AC;1200401;Rio Branco;64407,3435297647;64929,5904064421;60122,374898963;29447,5291653042;144439,211553075;56219,5844356731;15335,9411922618;11015,1451539477;15344,2817039554;20151,9959208065;18107,0146383468;11743,5326138885;27379,1362818632;18332,9072126681;12101,4012319629;10526,4108059262;10949,7694982808;15930,9829630007;29650,1994355481;11106,886779138;9925;15231,9187888535;9216,3631960932;20984,590239254;19287,3894965264;15265,0460175234;19447,044793079;17000,3124171004;16243,4815927182;15881,2305687431;17997,6484800445;25103,9624011059;27491,554353156;
AC;1200427;Rodrigues Alves;;;;3718,4251355347;8338,1718991907;5909,50372395092;5867,76569436323;7343,4301026318;8505,14557277472;10096,2620045683;8463,18387721759;7041,94779831043;7452,70272229734;9507,80201492595;7805,41152121626;8916,81068405798;8664,97507541122;9265,96697164756;10178,5482345946;16491,1897609028;44866;30782,3424557089;12886,3162839214;28155,0080967206;29602,3733307622;19768,6426389833;18791,7260107841;14376,4070235172;12498,5445105409;10363,1139787687;9565,85175187707;9185,36703050618;7918,54795936932;
AC;1200435;Santa Rosa do Purus;;;;338,3422869456;538,6471818046;472,346563699694;232,847845014414;353,932797441047;319,29701817259;884,465927672922;912,01021242889;775,94922422141;754,19907742851;1247,17052700167;1117,26638880209;1638,36866738862;1300,01569461627;1488,4274222999;2273,53489373547;981,231211940636;2037;1445,7351853654;1583,1002483267;2627,7477180974;3338,0034220065;3843,8646357976;3600,129805928;3590,1242873489;3008,247348107;3022,2939759161;2775,76985793972;2971,69520334412;2801,61038731881;
AC;1200450;Senador Guiomard;18013,2785935802;13202,1041359698;21340,6116660432;17978,9190862029;85962,3399199159;64945,9286161397;4881,07295111465;4687,58323328409;5968,79425906503;7392,80011243593;9492,58154273139;13702,1786395442;12317,9516827367;10685,037746021;10828,0575191373;7921,41900905102;12334,656683841;16584,0684646221;10559,0220883569;7597,22331720225;7590;12622,9483968721;17473,1161930387;20183,4573442724;23107,8358440561;20557,9893286895;18477,7058779322;17349,1058113033;15410,1672114925;13141,556758264;13704,7040324515;17949,6738861119;21431,7175209167;
AC;1200500;Sena Madureira;32644,6867858818;40027,4475055856;27357,6084899397;23693,2156438726;17293,5029869003;13129,1657997696;7925,55852467811;8529,51024062126;22538,7645166507;22130,7202333901;55544,5823683486;50301,117048654;69207,7390194474;76308,8530192691;33990,8595962528;36472,762010804;19527,1787497024;23055,437010727;39926,4840729441;27696,7417779266;36468;22913,8871652429;31515,7542142576;66509,1459984696;74854,6345284565;39505,0530499769;31463,5485435439;26345,5277087985;17015,3075621176;15608,7240473972;12516,2945799647;12031,491073043;12227,1633202229;
AC;1200609;Tarauacá;11212,9983700321;7556,5147292113;8321,1642850821;4728,3902601112;5378,3517151237;14828,9238720612;9104,35074006358;9761,52058896567;7884,57636810057;14566,2717468505;20694,0535082565;9342,67896582713;11757,5266755795;15197,4971961872;12167,8499936759;21772,0352498631;12163,5665354303;15522,1716896989;20896,9737418061;14460,4206338699;21150;25942,9147151689;20512,7370912305;27302,1635451613;27146,6355646054;26970,1453223929;31670,3577623514;29445,5054895569;25778,2846532358;21712,3082564281;19628,2813433589;17417,0467690815;15134,973487417;
AC;1200708;Xapuri;14007,9805754906;6340,8183244678;4661,7731339714;3784,5666774596;7987,1275587769;12018,9789858185;3693,54894154114;3425,85333706296;7897,45124786559;10236,9183111254;10034,3697877387;7940,96423820136;4633,47997442855;10290,405683405;5757,86246843235;4939,55926585822;4142,53705797411;15420,9181235561;7019,56807262339;6098,81278139898;9082;14277,3273573925;11373,3479752828;10786,2559981729;15236,0492106348;10162,0671138713;9233,4606740585;8570,5268056262;8158,0482395327;7575,6812934146;7561,07044193163;9375,82440451881;13761,2556870052;
