Sigla,Código,Município,Produção - algodão - herbáceo (caroço) (2000),Produção - milho (2000),Produção - soja (2000),
AC,1200013,Acrelândia,51.9213734798625,884.920800178527,,
AC,1200054,Assis Brasil,,237.032357190677,,
AC,1200104,Brasiléia,,2641.2176944104,,
AC,1200138,Bujari,,433.430596005809,,
AC,1200179,Capixaba,,652.403345029577,,
AC,1200203,Cruzeiro do Sul,,930.069820595799,,
AC,1200252,Epitaciolândia,,2063.31023306932,,
AC,1200302,Feijó,,2510.28553520031,,
AC,1200328,Jordão,,221.230200044632,,
AC,1200336,Mâncio Lima,,185.110983710814,,
AC,1200344,Manoel Urbano,,234.774906169813,,
AC,1200351,Marechal Thaumaturgo,,632.086285841805,,
AC,1200385,Plácido de Castro,,1000.05080224257,,
AC,1200393,Porto Walter,,221.230200044632,,
AC,1200401,Rio Branco,,1855.62473914987,,
AC,1200427,Rodrigues Alves,,221.230200044632,,
AC,1200435,Santa Rosa do Purus,,54.1788245007261,,
AC,1200450,Senador Guiomard,,501.154126631717,,
AC,1200500,Sena Madureira,,4681.95341727108,,
AC,1200609,Tarauacá,,1289.00453291311,,
AC,1200708,Xapuri,,627.571383800078,,
AC,1200807,Porto Acre,,2907.5969148723,,
AL,2700102,Água Branca,,286.696279649676,,
AL,2700201,Anadia,,27.0894122503631,,
AL,2700300,Arapiraca,379.251771505083,3070.13338837448,,
AL,2700409,Atalaia,,13.5447061251815,,
AL,2700508,Barra de Santo Antônio,,6.77235306259077,,
AL,2700607,Barra de São Miguel,,2.25745102086359,,
AL,2700706,Batalha,47.4064714381354,275.409024545358,,
AL,2700805,Belém,,15.8021571460451,,
AL,2700904,Belo Monte,142.219414314406,460.520008256172,,
AL,2701001,Boca da Mata,,15.8021571460451,,
AL,2701100,Branquinha,,9.02980408345435,,
AL,2701209,Cacimbinhas,2.25745102086359,60.9511775633169,,
AL,2701308,Cajueiro,,4.51490204172718,,
AL,2701357,Campestre,,6.77235306259077,,
AL,2701407,Campo Alegre,,20.3170591877723,,
AL,2701506,Campo Grande,,45.1490204172718,,
AL,2701605,Canapi,,176.08117962736,,
AL,2701704,Capela,,4.51490204172718,,
AL,2701803,Carneiros,,15.8021571460451,,
AL,2701902,Chã Preta,,33.8617653129538,,
AL,2702009,Coité do Nóia,29.3468632712267,483.094518464808,,
AL,2702108,Colônia Leopoldina,,9.02980408345435,,
AL,2702207,Coqueiro Seco,,6.77235306259077,,
AL,2702306,Coruripe,,1099.37864716057,,
AL,2702355,Craíbas,1185.16178595338,805.910014448301,,
AL,2702405,Delmiro Gouveia,,88.04058981368,,
AL,2702504,Dois Riachos,,142.219414314406,,
AL,2702553,Estrela de Alagoas,,88.04058981368,,
AL,2702603,Feira Grande,94.8129428762707,300.240985774857,,
AL,2702702,Feliz Deserto,,,,
AL,2702801,Flexeiras,,9.02980408345435,,
AL,2702900,Girau do Ponciano,379.251771505083,1074.54668593107,,
AL,2703007,Ibateguara,,72.2384326676348,,
AL,2703106,Igaci,4.51490204172718,293.468632712267,,
AL,2703205,Igreja Nova,,374.736869463356,,
AL,2703304,Inhapi,,390.539026609401,,
AL,2703403,Jacaré dos Homens,,124.159806147497,,
AL,2703502,Jacuípe,,29.3468632712267,,
AL,2703601,Japaratinga,,18.0596081669087,,
AL,2703700,Jaramataia,18.0596081669087,460.520008256172,,
AL,2703759,Jequiá da Praia,,,,
AL,2703809,Joaquim Gomes,,9.02980408345435,,
AL,2703908,Jundiá,,13.5447061251815,,
AL,2704005,Junqueiro,,88.04058981368,,
AL,2704104,Lagoa da Canoa,119.64490410577,176.08117962736,,
AL,2704203,Limoeiro de Anadia,,18.0596081669087,,
AL,2704302,Maceió,,4.51490204172718,,
AL,2704401,Major Isidoro,2.25745102086359,137.704512272679,,
AL,2704500,Maragogi,,11.2872551043179,,
AL,2704609,Maravilha,,83.5256877719528,,
AL,2704708,Marechal Deodoro,,4.51490204172718,,
AL,2704807,Maribondo,,6.77235306259077,,
AL,2704906,Mar Vermelho,,4.51490204172718,,
AL,2705002,Mata Grande,,264.12176944104,,
AL,2705101,Matriz de Camaragibe,,13.5447061251815,,
AL,2705200,Messias,,4.51490204172718,,
AL,2705309,Minador do Negrão,,36.1192163338174,,
AL,2705408,Monteirópolis,,65.4660796050441,,
AL,2705507,Murici,,9.02980408345435,,
AL,2705606,Novo Lino,,9.02980408345435,,
AL,2705705,Olho d'Água das Flores,6.77235306259077,20.3170591877723,,
AL,2705804,Olho d'Água do Casado,,112.872551043179,,
AL,2705903,Olho d'Água Grande,,63.2086285841805,,
AL,2706000,Olivença,,29.3468632712267,,
AL,2706109,Ouro Branco,151.24921839786,36.1192163338174,,
AL,2706208,Palestina,6.77235306259077,22.5745102086359,,
AL,2706307,Palmeira dos Índios,4.51490204172718,372.479418442492,,
AL,2706406,Pão de Açúcar,,275.409024545358,,
AL,2706422,Pariconha,,126.417257168361,,
AL,2706448,Paripueira,,4.51490204172718,,
AL,2706505,Passo de Camaragibe,,11.2872551043179,,
AL,2706604,Paulo Jacinto,,27.0894122503631,,
AL,2706703,Penedo,,69.9809816467713,,
AL,2706802,Piaçabuçu,,,,
AL,2706901,Pilar,,6.77235306259077,,
AL,2707008,Pindoba,,4.51490204172718,,
AL,2707107,Piranhas,,158.021571460451,,
AL,2707206,Poço das Trincheiras,,124.159806147497,,
AL,2707305,Porto Calvo,,40.6341183755446,,
AL,2707404,Porto de Pedras,,27.0894122503631,,
AL,2707503,Porto Real do Colégio,,38.376667354681,,
AL,2707602,Quebrangulo,,29.3468632712267,,
AL,2707701,Rio Largo,,9.02980408345435,,
AL,2707800,Roteiro,,4.51490204172718,,
AL,2707909,Santa Luzia do Norte,,6.77235306259077,,
AL,2708006,Santana do Ipanema,,38.376667354681,,
AL,2708105,Santana do Mundaú,,162.536473502178,,
AL,2708204,São Brás,,56.4362755215897,,
AL,2708303,São José da Laje,,81.2682367510892,,
AL,2708402,São José da Tapera,302.498436795721,97.0703938971343,,
AL,2708501,São Luís do Quitunde,,24.8319612294995,,
AL,2708600,São Miguel dos Campos,,101.585295938861,,
AL,2708709,São Miguel dos Milagres,,4.51490204172718,,
AL,2708808,São Sebastião,,451.490204172718,,
AL,2708907,Satuba,,6.77235306259077,,
AL,2708956,Senador Rui Palmeira,15.8021571460451,9.02980408345435,,
AL,2709004,Tanque d'Arca,,9.02980408345435,,
AL,2709103,Taquarana,,49.663922458999,,
AL,2709152,Teotônio Vilela,,20.3170591877723,,
AL,2709202,Traipu,38.376667354681,3108.51005572916,,
AL,2709301,União dos Palmares,,182.853532689951,,
AL,2709400,Viçosa,,18.0596081669087,,
AM,1300029,Alvarães,,9.02980408345435,,
AM,1300060,Amaturá,,6.77235306259077,,
AM,1300086,Anamã,,117.387453084907,,
AM,1300102,Anori,,72.2384326676348,,
AM,1300144,Apuí,0,288.953730670539,,
AM,1300201,Atalaia do Norte,,42.8915693964082,,
AM,1300300,Autazes,,146.734316356133,,
AM,1300409,Barcelos,,,,
AM,1300508,Barreirinha,,58.6937265424533,,
AM,1300607,Benjamin Constant,4.51490204172718,139.961963293543,,
AM,1300631,Beruri,,94.8129428762707,,
AM,1300680,Boa Vista do Ramos,,4.51490204172718,,
AM,1300706,Boca do Acre,6.77235306259077,1119.69570634834,,
AM,1300805,Borba,,329.587849046084,,
AM,1300839,Caapiranga,,31.6043142920902,,
AM,1300904,Canutama,,58.6937265424533,,
AM,1301001,Carauari,,781.078053218802,,
AM,1301100,Careiro,,144.47686533527,,
AM,1301159,Careiro da Várzea,,331.845300066948,,
AM,1301209,Coari,,1015.85295938861,,
AM,1301308,Codajás,,212.200395961177,,
AM,1301407,Eirunepé,,1293.51943495484,,
AM,1301506,Envira,6.77235306259077,564.362755215897,,
AM,1301605,Fonte Boa,,155.764120439588,0,
AM,1301654,Guajará,2.25745102086359,67.7235306259077,,
AM,1301704,Humaitá,,514.698832756898,772.048249135347,
AM,1301803,Ipixuna,,182.853532689951,,
AM,1301852,Iranduba,,169.308826564769,4.51490204172718,
AM,1301902,Itacoatiara,,1063.25943082675,29.3468632712267,
AM,1301951,Itamarati,,29.3468632712267,,
AM,1302009,Itapiranga,,2.25745102086359,,
AM,1302108,Japurá,,2.25745102086359,,
AM,1302207,Juruá,,2.25745102086359,,
AM,1302306,Jutaí,,81.2682367510892,,
AM,1302405,Lábrea,,207.68549391945,,
AM,1302504,Manacapuru,,595.967069507987,,
AM,1302553,Manaquiri,,266.379220461903,,
AM,1302603,Manaus,,2.25745102086359,,
AM,1302702,Manicoré,,489.866871527399,0,
AM,1302801,Maraã,,6.77235306259077,,
AM,1302900,Maués,,248.319612294995,,
AM,1303007,Nhamundá,,85.7831387928164,,
AM,1303106,Nova Olinda do Norte,,69.9809816467713,,
AM,1303205,Novo Airão,,20.3170591877723,,
AM,1303304,Novo Aripuanã,4.51490204172718,79.0107857302256,,
AM,1303403,Parintins,,900.722957324572,,
AM,1303502,Pauini,,148.991767376997,2.25745102086359,
AM,1303536,Presidente Figueiredo,,130.932159210088,,
AM,1303569,Rio Preto da Eva,,2.25745102086359,,
AM,1303601,Santa Isabel do Rio Negro,,,,
AM,1303700,Santo Antônio do Içá,,108.357649001452,,
AM,1303809,São Gabriel da Cachoeira,,2.25745102086359,,
AM,1303908,São Paulo de Olivença,,76.753334709362,,
AM,1303957,São Sebastião do Uatumã,,2.25745102086359,,
AM,1304005,Silves,,45.1490204172718,,
AM,1304062,Tabatinga,,4.51490204172718,,
AM,1304104,Tapauá,,2.25745102086359,,
AM,1304203,Tefé,,108.357649001452,,
AM,1304237,Tonantins,,65.4660796050441,,
AM,1304260,Uarini,,,,
AM,1304302,Urucará,,58.6937265424533,,
AM,1304401,Urucurituba,,31.6043142920902,,
AP,1600055,Serra do Navio,,20.3170591877723,,
AP,1600105,Amapá,,27.0894122503631,,
AP,1600154,Pedra Branca do Amaparí,,119.64490410577,,
AP,1600204,Calçoene,,99.3278449179979,,
AP,1600212,Cutias,,9.02980408345435,,
AP,1600238,Ferreira Gomes,,20.3170591877723,,
AP,1600253,Itaubal,,13.5447061251815,,
AP,1600279,Laranjal do Jari,,81.2682367510892,,
AP,1600303,Macapá,,94.8129428762707,,
AP,1600402,Mazagão,,40.6341183755446,,
AP,1600501,Oiapoque,,33.8617653129538,,
AP,1600535,Porto Grande,,42.8915693964082,,
AP,1600550,Pracuúba,,24.8319612294995,,
AP,1600600,Santana,,13.5447061251815,,
AP,1600709,Tartarugalzinho,,24.8319612294995,,
AP,1600808,Vitória do Jari,,13.5447061251815,,
BA,2900108,Abaíra,,101.585295938861,,
BA,2900207,Abaré,,18.0596081669087,,
BA,2900306,Acajutiba,,4.51490204172718,,
BA,2900355,Adustina,,14750.1849703227,,
BA,2900405,Água Fria,,176.08117962736,,
BA,2900504,Érico Cardoso,,142.219414314406,,
BA,2900603,Aiquara,,6.77235306259077,,
BA,2900702,Alagoinhas,,47.4064714381354,,
BA,2900801,Alcobaça,,148.991767376997,,
BA,2900900,Almadina,,,,
BA,2901007,Amargosa,,6.77235306259077,,
BA,2901106,Amélia Rodrigues,,11.2872551043179,,
BA,2901155,América Dourada,,2298.08513923913,,
BA,2901205,Anagé,203.170591877723,11.2872551043179,,
BA,2901304,Andaraí,,178.338630648224,,
BA,2901353,Andorinha,,187.368434731678,,
BA,2901403,Angical,,1117.43825532748,,
BA,2901502,Anguera,,29.3468632712267,,
BA,2901601,Antas,,1340.92590639297,,
BA,2901700,Antônio Cardoso,,212.200395961177,,
BA,2901809,Antônio Gonçalves,,270.894122503631,,
BA,2901908,Aporá,,47.4064714381354,,
BA,2901957,Apuarema,,13.5447061251815,,
BA,2902005,Aracatu,94.8129428762707,,,
BA,2902054,Araças,,11.2872551043179,,
BA,2902104,Araci,,1661.4839513556,,
BA,2902203,Aramari,,22.5745102086359,,
BA,2902252,Arataca,,2.25745102086359,,
BA,2902302,Aratuípe,,2.25745102086359,,
BA,2902401,Aurelino Leal,,,,
BA,2902500,Baianópolis,,3183.00593941766,14975.930072409,
BA,2902609,Baixa Grande,,302.498436795721,,
BA,2902658,Banzaê,,367.964516400765,,
BA,2902708,Barra,110.615100022316,63.2086285841805,,
BA,2902807,Barra da Estiva,,83.5256877719528,,
BA,2902906,Barra do Choça,,90.2980408345436,,
BA,2903003,Barra do Mendes,,677.235306259077,,
BA,2903102,Barra do Rocha,,2.25745102086359,,
BA,2903201,Barreiras,37252.4567462909,97323.228411471,346083.043655534,
BA,2903235,Barro Alto,,1523.77943908292,,
BA,2903276,Barrocas,,,,
BA,2903300,Governador Lomanto Júnior,,,,
BA,2903409,Belmonte,,9.02980408345435,,
BA,2903508,Belo Campo,,9.02980408345435,,
BA,2903607,Biritinga,,541.788245007261,,
BA,2903706,Boa Nova,18.0596081669087,24.8319612294995,,
BA,2903805,Boa Vista do Tupim,,76.753334709362,,
BA,2903904,Bom Jesus da Lapa,58.6937265424533,5277.92048677907,,
BA,2903953,Bom Jesus da Serra,9.02980408345435,31.6043142920902,,
BA,2904001,Boninal,,38.376667354681,,
BA,2904050,Bonito,,,,
BA,2904100,Boquira,33.8617653129538,76.753334709362,,
BA,2904209,Botuporã,146.734316356133,413.113536818037,,
BA,2904308,Brejões,,9.02980408345435,,
BA,2904407,Brejolândia,,1298.03433699656,,
BA,2904506,Brotas de Macaúbas,11.2872551043179,2.25745102086359,,
BA,2904605,Brumado,47.4064714381354,,,
BA,2904704,Buerarema,,4.51490204172718,,
BA,2904753,Buritirama,36.1192163338174,31.6043142920902,,
BA,2904803,Caatiba,,191.883336773405,,
BA,2904852,Cabaceiras do Paraguaçu,,300.240985774857,,
BA,2904902,Cachoeira,,67.7235306259077,,
BA,2905008,Caculé,,196.398238815132,,
BA,2905107,Caém,,144.47686533527,,
BA,2905156,Caetanos,121.902355126634,302.498436795721,,
BA,2905206,Caetité,,207.68549391945,,
BA,2905305,Cafarnaum,,1805.96081669087,,
BA,2905404,Cairu,,2.25745102086359,,
BA,2905503,Caldeirão Grande,,243.804710253268,,
BA,2905602,Camacan,,9.02980408345435,,
BA,2905701,Camaçari,,11.2872551043179,,
BA,2905800,Camamu,,58.6937265424533,,
BA,2905909,Campo Alegre de Lourdes,,1354.47061251815,,
BA,2906006,Campo Formoso,106.100197980589,763.018445051893,,
BA,2906105,Canápolis,,541.788245007261,,
BA,2906204,Canarana,,2370.32357190677,,
BA,2906303,Canavieiras,,,,
BA,2906402,Candeal,,232.51745514895,,
BA,2906501,Candeias,,13.5447061251815,,
BA,2906600,Candiba,72.2384326676348,110.615100022316,,
BA,2906709,Cândido Sales,,20.3170591877723,,
BA,2906808,Cansanção,,45.1490204172718,,
BA,2906824,Canudos,,4.51490204172718,,
BA,2906857,Capela do Alto Alegre,,810.424916490028,,
BA,2906873,Capim Grosso,,270.894122503631,,
BA,2906899,Caraíbas,54.1788245007261,11.2872551043179,,
BA,2906907,Caravelas,,155.764120439588,,
BA,2907004,Cardeal da Silva,,42.8915693964082,,
BA,2907103,Carinhanha,40.6341183755446,63.2086285841805,,
BA,2907202,Casa Nova,,148.991767376997,,
BA,2907301,Castro Alves,,115.130002064043,,
BA,2907400,Catolândia,,288.953730670539,,
BA,2907509,Catu,,33.8617653129538,,
BA,2907558,Caturama,38.376667354681,279.923926587085,,
BA,2907608,Central,216.715298002905,1593.76042072969,,
BA,2907707,Chorrochó,,,,
BA,2907806,Cícero Dantas,,1665.99885339733,,
BA,2907905,Cipó,,130.932159210088,,
BA,2908002,Coaraci,,,,
BA,2908101,Cocos,,4160.48223145159,,
BA,2908200,Conceição da Feira,,51.9213734798625,,
BA,2908309,Conceição do Almeida,,22.5745102086359,,
BA,2908408,Conceição do Coité,,343.132555171265,,
BA,2908507,Conceição do Jacuípe,,29.3468632712267,,
BA,2908606,Conde,,2.25745102086359,,
BA,2908705,Condeúba,,18.0596081669087,,
BA,2908804,Contendas do Sincorá,31.6043142920902,11.2872551043179,,
BA,2908903,Coração de Maria,,9.02980408345435,,
