Sigla,Código,Município,Produção - algodão - herbáceo (caroço) (2001),Produção - arroz (2001),Produção - café (2001),Produção - cana-de-açúcar (2001),Produção - laranja (2001),Produção - mandioca (2001),Produção - milho (2001),Produção - soja (2001),
AC,1200013,Acrelândia,70.9200903858277,1228.5862716839,2467.60196842454,4.17177002269575,33.374160181566,1802.20464980456,1606.13145873786,,
AC,1200054,Assis Brasil,,137.66841074896,252.392086373093,37.5459302042618,4.17177002269575,319.140406736225,187.729651021309,,
AC,1200104,Brasiléia,,3126.74163201046,734.231523994452,33.374160181566,91.7789404993065,3754.59302042617,1182.69680143425,,
AC,1200138,Bujari,,629.937273427058,29.2023901588703,191.901421044005,54.2330102950447,2815.94476531963,337.913371838356,,
AC,1200179,Capixaba,,1230.67215669525,29.2023901588703,,18.7729651021309,6570.53778574581,435.949967371706,,
AC,1200203,Cruzeiro do Sul,,2803.42945525154,,52.1471252836969,571.532493109318,7730.28985205522,1447.60419787543,,
AC,1200252,Epitaciolândia,,2252.75581225571,867.728164720716,319.140406736225,123.067215669525,12953.3459204703,2523.92086373093,,
AC,1200302,Feijó,,840.611659573194,,146.011950794351,204.416731112092,2732.50936486572,1080.4884358782,,
AC,1200328,Jordão,,47.9753552610011,,47.9753552610011,52.1471252836969,1343.30994730803,244.048546327701,,
AC,1200336,Mâncio Lima,,258.649741407137,,8.3435400453915,39.6318152156096,2467.60196842454,212.760271157483,,
AC,1200344,Manoel Urbano,,187.729651021309,4.17177002269575,154.355490839743,20.8588501134787,5631.88953063926,131.410755714916,,
AC,1200351,Marechal Thaumaturgo,,331.655716804312,,62.5765503404362,,625.765503404363,650.796123540537,,
AC,1200385,Plácido de Castro,,1193.12622649098,120.981330658177,185.643766009961,619.507848370319,4246.86188310427,715.458558892321,,
AC,1200393,Porto Walter,,225.275581225571,,39.6318152156096,4.17177002269575,675.826743676712,237.790891293658,,
AC,1200401,Rio Branco,,429.692312337662,210.674386146135,160.613145873786,354.600451929139,7133.72673880973,834.35400453915,,
AC,1200427,Rodrigues Alves,,1697.91039923717,,,77.1777454198714,4184.28533276384,241.962661316353,,
AC,1200435,Santa Rosa do Purus,,108.466020590089,,8.3435400453915,6.25765503404363,312.882751702181,62.5765503404362,,
AC,1200450,Senador Guiomard,,1399.62884261442,173.128455941874,56.3188953063926,271.165051475224,2669.93281452528,692.513823767495,,
AC,1200500,Sena Madureira,,6247.22560898689,1084.6602059009,231.533236259614,175.214340953221,32802.6276884567,4739.13074578237,,
AC,1200609,Tarauacá,,1026.25542558315,,98.0365955333501,79.2636304312193,4574.34582988589,1704.16805427121,,
AC,1200708,Xapuri,,638.28081347245,135.582525737612,56.3188953063926,102.208365556046,4797.53552610011,525.643022859664,,
AC,1200807,Porto Acre,,1030.42719560585,118.895445646829,66.748320363132,166.87080090783,6213.85144880532,1159.75206630942,,
AL,2700102,Água Branca,35.4600451929139,,,166.87080090783,27.1165051475224,3754.59302042617,98.0365955333501,,
AL,2700201,Anadia,,,,40950.0945427815,4.17177002269575,29.2023901588703,25.0306201361745,,
AL,2700300,Arapiraca,1351.65348735342,,,,,8009.79844357584,2394.59599302736,,
AL,2700409,Atalaia,,,,34594.4029132045,8.3435400453915,,8.3435400453915,,
AL,2700508,Barra de Santo Antônio,,,,13053.468401015,2.08588501134787,139.754295760308,6.25765503404363,,
AL,2700607,Barra de São Miguel,,,,4359.49967371706,,20.8588501134787,4.17177002269575,,
AL,2700706,Batalha,204.416731112092,,,,,29.2023901588703,765.51979916467,,
AL,2700805,Belém,,,2.08588501134787,,14.6011950794351,64.6624353517841,10.4294250567394,,
AL,2700904,Belo Monte,225.275581225571,,,,,75.0918604085235,164.784915896482,,
AL,2701001,Boca da Mata,,,,55561.7190472733,,20.8588501134787,12.5153100680873,,
AL,2701100,Branquinha,,,,31204.8397697642,16.687080090783,87.6071704766107,6.25765503404363,,
AL,2701209,Cacimbinhas,4.17177002269575,,,,,37.5459302042618,47.9753552610011,,
AL,2701308,Cajueiro,,,,15320.8254083501,6.25765503404363,,4.17177002269575,,
AL,2701357,Campestre,,,,32729.6217130595,2.08588501134787,1668.7080090783,6.25765503404363,,
AL,2701407,Campo Alegre,,,,59049.318786247,4.17177002269575,37.5459302042618,20.8588501134787,,
AL,2701506,Campo Grande,22.9447351248266,0,,,,1806.37641982726,33.374160181566,,
AL,2701605,Canapi,204.416731112092,,,,,938.648255106544,56.3188953063926,,
AL,2701704,Capela,,,,39923.8391171983,,,4.17177002269575,,
AL,2701803,Carneiros,27.1165051475224,,,,,18.7729651021309,2.08588501134787,,
AL,2701902,Chã Preta,,,,648.710238529189,442.20762240575,100.122480544698,39.6318152156096,,
AL,2702009,Coité do Nóia,89.6930554879586,,,,,450.551162451141,262.821511429832,,
AL,2702108,Colônia Leopoldina,,,,26811.9659358656,10.4294250567394,100.122480544698,6.25765503404363,,
AL,2702207,Coqueiro Seco,,,,2154.71921672235,,139.754295760308,6.25765503404363,,
AL,2702306,Coruripe,,37.5459302042618,,160483.821003083,104.294250567394,1136.80733118459,348.342796895095,,
AL,2702355,Craíbas,1501.83720817047,,,,,93.8648255106544,319.140406736225,,
AL,2702405,Delmiro Gouveia,0,,,,,,0,,
AL,2702504,Dois Riachos,33.374160181566,,,,,77.1777454198714,175.214340953221,,
AL,2702553,Estrela de Alagoas,,,,,10.4294250567394,241.962661316353,102.208365556046,,
AL,2702603,Feira Grande,75.0918604085235,,,,,1735.45632944143,95.9507105220023,,
AL,2702702,Feliz Deserto,,,,7578.02024622683,,2.08588501134787,,,
AL,2702801,Flexeiras,,,,26801.5365108088,54.2330102950447,73.0059753971756,6.25765503404363,,
AL,2702900,Girau do Ponciano,1727.11278939604,,,,,4672.38242541924,2394.59599302736,,
AL,2703007,Ibateguara,,,,10216.6647855819,47.9753552610011,325.398061770268,62.5765503404362,,
AL,2703106,Igaci,225.275581225571,,,,20.8588501134787,559.017183041231,279.508591520615,,
AL,2703205,Igreja Nova,,10587.9523176018,,14209.0486973017,175.214340953221,2649.0739644118,73.0059753971756,,
AL,2703304,Inhapi,16.687080090783,,,,,1877.29651021309,79.2636304312193,,
AL,2703403,Jacaré dos Homens,120.981330658177,,,,,20.8588501134787,37.5459302042618,,
AL,2703502,Jacuípe,,8.3435400453915,,12016.7835503751,252.392086373093,2302.81705252805,29.2023901588703,,
AL,2703601,Japaratinga,,8.3435400453915,,5723.66847113857,2.08588501134787,538.158332927752,16.687080090783,,
AL,2703700,Jaramataia,179.386110975917,,,,,,112.637790612785,,
AL,2703759,Jequiá da Praia,,,,45280.3918263397,2.08588501134787,75.0918604085235,39.6318152156096,,
AL,2703809,Joaquim Gomes,,,,30720.9144471315,43.8035852383054,385.888727099357,6.25765503404363,,
AL,2703908,Jundiá,,4.17177002269575,,11649.6677883779,47.9753552610011,396.318152156096,6.25765503404363,,
AL,2704005,Junqueiro,,,,55273.8669157073,10.4294250567394,150.183720817047,79.2636304312193,,
AL,2704104,Lagoa da Canoa,112.637790612785,,,,,2127.60271157483,160.613145873786,,
AL,2704203,Limoeiro de Anadia,,,,10612.982937738,,123.067215669525,18.7729651021309,,
AL,2704302,Maceió,,,,33874.7725842895,2.08588501134787,66.748320363132,4.17177002269575,,
AL,2704401,Major Isidoro,39.6318152156096,,,,,,260.735626418484,,
AL,2704500,Maragogi,,6.25765503404363,,21407.4378714632,77.1777454198714,2736.68113488841,8.3435400453915,,
AL,2704609,Maravilha,200.244961089396,,,,,45.8894702496533,4.17177002269575,,
AL,2704708,Marechal Deodoro,,,,39448.257334611,2.08588501134787,93.8648255106544,4.17177002269575,,
AL,2704807,Maribondo,,,,3329.07247811121,,25.0306201361745,6.25765503404363,,
AL,2704906,Mar Vermelho,,,,,,,4.17177002269575,,
AL,2705002,Mata Grande,64.6624353517841,,,237.790891293658,31.2882751702181,2503.06201361745,43.8035852383054,,
AL,2705101,Matriz de Camaragibe,,22.9447351248266,,41119.0512287007,10.4294250567394,1032.5130806172,10.4294250567394,,
AL,2705200,Messias,,,,25072.3378364015,6.25765503404363,33.374160181566,4.17177002269575,,
AL,2705309,Minador do Negrão,,,,,,,22.9447351248266,,
AL,2705408,Monteirópolis,58.4047803177405,,,,,189.815536032657,4.17177002269575,,
AL,2705507,Murici,,,,42833.6487080286,64.6624353517841,120.981330658177,6.25765503404363,,
AL,2705606,Novo Lino,,,,16645.362390556,10.4294250567394,179.386110975917,6.25765503404363,,
AL,2705705,Olho d'Água das Flores,229.447351248266,,,,,56.3188953063926,8.3435400453915,,
AL,2705804,Olho d'Água do Casado,0,,,,,625.765503404363,58.4047803177405,,
AL,2705903,Olho d'Água Grande,,4.17177002269575,,,16.687080090783,884.415244811499,56.3188953063926,,
AL,2706000,Olivença,133.496640726264,,,,,64.6624353517841,4.17177002269575,,
AL,2706109,Ouro Branco,648.710238529189,,,,,60.4906653290884,4.17177002269575,,
AL,2706208,Palestina,64.6624353517841,,,,,31.2882751702181,4.17177002269575,,
AL,2706307,Palmeira dos Índios,37.5459302042618,,6.25765503404363,,39.6318152156096,533.986562905056,248.220316350397,,
AL,2706406,Pão de Açúcar,160.613145873786,,,,,95.9507105220023,6.25765503404363,,
AL,2706422,Pariconha,0,,,,,3754.59302042617,79.2636304312193,,
AL,2706448,Paripueira,,6.25765503404363,,3984.04037167444,2.08588501134787,133.496640726264,4.17177002269575,,
AL,2706505,Passo de Camaragibe,,6.25765503404363,,35562.2535584699,2.08588501134787,794.72218932354,10.4294250567394,,
AL,2706604,Paulo Jacinto,,,,,,12.5153100680873,8.3435400453915,,
AL,2706703,Penedo,,650.796123540537,,51437.9243798386,77.1777454198714,2031.65200105283,12.5153100680873,,
AL,2706802,Piaçabuçu,,329.569831792964,,,4.17177002269575,2.08588501134787,,,
AL,2706901,Pilar,,,,31348.7658355472,4.17177002269575,39.6318152156096,6.25765503404363,,
AL,2707008,Pindoba,,,,1205.64153655907,,16.687080090783,6.25765503404363,,
AL,2707107,Piranhas,6.25765503404363,,,,,,58.4047803177405,,
AL,2707206,Poço das Trincheiras,25.0306201361745,,,,,227.361466236918,4.17177002269575,,
AL,2707305,Porto Calvo,,219.017926191527,,43947.5113040884,75.0918604085235,1985.76253080318,39.6318152156096,,
AL,2707404,Porto de Pedras,,8.3435400453915,,13564.5102287952,12.5153100680873,1508.09486320451,20.8588501134787,,
AL,2707503,Porto Real do Colégio,,4966.49221201929,,,8.3435400453915,2238.15461717627,31.2882751702181,,
AL,2707602,Quebrangulo,,,,,,22.9447351248266,14.6011950794351,,
AL,2707701,Rio Largo,,,,140957.851411855,,118.895445646829,4.17177002269575,,
AL,2707800,Roteiro,,,,20274.8023103013,,,10.4294250567394,,
AL,2707909,Santa Luzia do Norte,,,,3454.22557879208,,166.87080090783,6.25765503404363,,
AL,2708006,Santana do Ipanema,154.355490839743,,,,,75.0918604085235,10.4294250567394,,
AL,2708105,Santana do Mundaú,,,,5886.3675020237,9511.63565174631,815.581039437019,139.754295760308,,
AL,2708204,São Brás,,12.5153100680873,,,,373.37341703127,52.1471252836969,,
AL,2708303,São José da Laje,,,,48098.4224766706,118.895445646829,644.538468506493,68.8342053744799,,
AL,2708402,São José da Tapera,79.2636304312193,,,,,1898.15536032657,6.25765503404363,,
AL,2708501,São Luís do Quitunde,,18.7729651021309,,86735.2705418673,18.7729651021309,1191.04034147964,12.5153100680873,,
AL,2708600,São Miguel dos Campos,,,,158500.144357291,4.17177002269575,171.042570930526,91.7789404993065,,
AL,2708709,São Miguel dos Milagres,,2.08588501134787,,1022.08365556046,6.25765503404363,285.766246554659,4.17177002269575,,
AL,2708808,São Sebastião,33.374160181566,50.061240272349,,21317.7448159753,227.361466236918,5396.18452435695,148.097835805699,,
AL,2708907,Satuba,,,,3456.31146380343,,118.895445646829,4.17177002269575,,
AL,2708956,Senador Rui Palmeira,106.380135578742,,,,,60.4906653290884,2.08588501134787,,
AL,2709004,Tanque d'Arca,,,,690.427938756147,35.4600451929139,52.1471252836969,6.25765503404363,,
AL,2709103,Taquarana,22.9447351248266,,,1245.27335177468,29.2023901588703,373.37341703127,302.453326645442,,
AL,2709152,Teotônio Vilela,,,,34498.4522026825,,123.067215669525,18.7729651021309,,
AL,2709202,Traipu,450.551162451141,,,,,901.102324902282,2951.52729105724,,
AL,2709301,União dos Palmares,,,,47084.6823611556,1220.24273163851,1326.62286721725,156.441375851091,,
AL,2709400,Viçosa,,,,2713.73639976359,16.687080090783,100.122480544698,10.4294250567394,,
AM,1300029,Alvarães,,,,,,17327.4467892668,8.3435400453915,,
AM,1300060,Amaturá,,2.08588501134787,,,33.374160181566,851.041084629933,6.25765503404363,,
AM,1300086,Anamã,,,,,6.25765503404363,500.61240272349,108.466020590089,,
AM,1300102,Anori,,,,,41.7177002269575,302.453326645442,66.748320363132,,
AM,1300144,Apuí,0,1166.00972134346,189.815536032657,50.061240272349,2.08588501134787,2557.29502391249,266.993281452528,,
AM,1300201,Atalaia do Norte,,6.25765503404363,,56.3188953063926,6.25765503404363,565.274838075274,58.4047803177405,,
AM,1300300,Autazes,,2.08588501134787,10.4294250567394,87.6071704766107,406.747577212836,17421.3116147775,135.582525737612,,
AM,1300409,Barcelos,,,,164.784915896482,2.08588501134787,2169.32041180179,,,
AM,1300508,Barreirinha,,14.6011950794351,0,133.496640726264,68.8342053744799,5481.70580982222,54.2330102950447,,
AM,1300607,Benjamin Constant,2.08588501134787,10.4294250567394,0,450.551162451141,10.4294250567394,3416.67964858782,129.324870703568,,
AM,1300631,Beruri,,,,131.410755714916,25.0306201361745,1201.46976653638,98.0365955333501,,
AM,1300680,Boa Vista do Ramos,,2.08588501134787,,,20.8588501134787,1729.19867440739,4.17177002269575,,
AM,1300706,Boca do Acre,12.5153100680873,657.053778574581,0,219.017926191527,18.7729651021309,2886.86485570546,1241.10158175199,,
AM,1300805,Borba,,,0,77.1777454198714,66.748320363132,9636.78875242718,,,
AM,1300839,Caapiranga,,,,254.477971384441,4.17177002269575,1007.48246048102,37.5459302042618,,
AM,1300904,Canutama,,2.08588501134787,,,,3279.01123783886,54.2330102950447,,
AM,1301001,Carauari,,18.7729651021309,,1445.51831286408,,10400.2226665805,792.636304312192,,
AM,1301100,Careiro,,2.08588501134787,,312.882751702181,54.2330102950447,31471.8330512167,,,
AM,1301159,Careiro da Várzea,,,,,33.374160181566,884.415244811499,329.569831792964,,
AM,1301209,Coari,,2.08588501134787,,392.1463821334,104.294250567394,14227.8216624039,561.103068052578,,
AM,1301308,Codajás,,,0,,,1161.83795132077,196.0731910667,,
AM,1301407,Eirunepé,,387.974612110705,,3758.76479044887,6.25765503404363,39844.5754867671,,,
AM,1301506,Envira,6.25765503404363,563.188953063926,0,310.796866690833,,1858.52354511096,521.471252836969,,
AM,1301605,Fonte Boa,,22.9447351248266,0,400.489922178792,10.4294250567394,17821.8015369562,143.926065783003,0,
AM,1301654,Guajará,0,694.599708778842,0,131.410755714916,6.25765503404363,6856.30403230047,25.0306201361745,,
AM,1301704,Humaitá,,11685.1278335708,6.25765503404363,143.926065783003,,408.833462224184,642.452583495146,713.372673880973,
AM,1301803,Ipixuna,,281.594476531963,0,475.581782587316,6.25765503404363,3621.09637969991,189.815536032657,,
AM,1301852,Iranduba,,,,219.017926191527,56.3188953063926,3337.4160181566,156.441375851091,4.17177002269575,
AM,1301902,Itacoatiara,,550.673642995839,4.17177002269575,66.748320363132,206.50261612344,39948.8697373345,863.55639469802,89.6930554879586,
