"","index_centrao","NM_MUNICIPIO.x","SG_UF","Year","NM_MUNICIPIO_norm","row_id","codigo_do_municipio","NM_MUNICIPIO.y","codigo_da_microrregiao","nome_da_microrregiao","semiarido","vab_agro","vab_ind","vab_serv","vab_pub","vab_total","impostos_liquidos_de_subsidios_sobre_produtos_a_precos_correntes_r_1_000","pib","pib_per_capita","SG_UF.x","Year.x","NM_MUNICIPIO_norm.x","Year.y","SG_UF.y","NM_MUNICIPIO_norm.y"
"1",0.096,"GUAJARA MIRIM","RO","2002","GUAJARA MIRIM",1,1100106,"Guajará-Mirim",11002,"Guajará-Mirim","Não",5674.376,9378.105,66325.769,60567.751,141946,32734.462,174680.462,4409.56,NA,NA,NA,NA,NA,NA
"2",0.215,"PORTO VELHO","RO","2002","PORTO VELHO",2,1100205,"Porto Velho",11001,"Porto Velho","Não",49777.646,435143.334,956911.14,545524.61,1987356.73,338316.361,2325673.091,6594.74,NA,NA,NA,NA,NA,NA
"3",0.275,"JI PARANA","RO","2002","JI PARANA",3,1100122,"Ji-Paraná",11004,"Ji-Paraná","Não",29941.105,117048.094,261028.18,167387.58,575404.96,81994.971,657399.93,6009.96,NA,NA,NA,NA,NA,NA
"4",0.546,"ARIQUEMES","RO","2002","ARIQUEMES",4,1100023,"Ariquemes",11003,"Ariquemes","Não",28590.178,99922.936,161851.549,116562.182,406926.845,42665.972,449592.816,5667.37,NA,NA,NA,NA,NA,NA
"5",0.601,"CACOAL","RO","2002","CACOAL",5,1100049,"Cacoal",11006,"Cacoal","Não",32810.376,98292.764,175748.703,117968.303,424820.146,49622.951,474443.097,6353.27,NA,NA,NA,NA,NA,NA
"6",0.177,"PIMENTA BUENO","RO","2002","PIMENTA BUENO",6,1100189,"Pimenta Bueno",11007,"Vilhena","Não",16376.706,24636.488,63130.395,50281.1,154424.688,25912.195,180336.884,5703.07,NA,NA,NA,NA,NA,NA
"7",0.602,"VILHENA","RO","2002","VILHENA",7,1100304,"Vilhena",11007,"Vilhena","Não",25011.079,91807.98,172749.263,95768.722,385337.045,62923.228,448260.273,7683.32,NA,NA,NA,NA,NA,NA
"8",0.209,"JARU","RO","2002","JARU",8,1100114,"Jaru",11004,"Ji-Paraná","Não",33214.782,53869.088,95393.674,84625.278,267102.821,39054.757,306157.578,5604.51,NA,NA,NA,NA,NA,NA
"9",0.115,"OURO PRETO DO OESTE","RO","2002","OURO PRETO DO OESTE",9,1100155,"Ouro Preto do Oeste",11004,"Ji-Paraná","Não",24904.747,21038.733,65047.842,62375.313,173366.635,18337.756,191704.391,4695.64,NA,NA,NA,NA,NA,NA
"10",0.525,"PRESIDENTE MEDICI","RO","2002","PRESIDENTE MEDICI",10,1100254,"Presidente Médici",11004,"Ji-Paraná","Não",17411.79,7121.125,22861.819,39539.553,86934.287,6548.037,93482.324,3601.57,NA,NA,NA,NA,NA,NA
"11",0.368,"COSTA MARQUES","RO","2002","COSTA MARQUES",11,1100080,"Costa Marques",11002,"Guajará-Mirim","Não",2892.688,6970.584,9632.396,15798.095,35293.762,2014.608,37308.37,3664.15,NA,NA,NA,NA,NA,NA
"12",0.619,"COLORADO DO OESTE","RO","2002","COLORADO DO OESTE",12,1100064,"Colorado do Oeste",11008,"Colorado do Oeste","Não",14250.128,10881.687,23802.929,31210.022,80144.765,7108.81,87253.575,4253.57,NA,NA,NA,NA,NA,NA
"13",0.172,"ESPIGAO D OESTE","RO","2002","ESPIGAO D OESTE",13,1100098,"Espigão D'Oeste",11006,"Cacoal","Não",22722.863,19138.662,28829.369,39044.156,109735.05,9576.488,119311.538,4516.81,NA,NA,NA,NA,NA,NA
"14",0.532,"CEREJEIRAS","RO","2002","CEREJEIRAS",14,1100056,"Cerejeiras",11008,"Colorado do Oeste","Não",11283.793,6651.475,25306.009,27731.366,70972.643,8200.971,79173.614,4442.47,NA,NA,NA,NA,NA,NA
"15",0.502,"ROLIM DE MOURA","RO","2002","ROLIM DE MOURA",15,1100288,"Rolim de Moura",11006,"Cacoal","Não",16226.213,41642.283,76648.834,74916.671,209434.002,21836.036,231270.037,4781.96,NA,NA,NA,NA,NA,NA
"16",0.465,"SAO MIGUEL DO GUAPORE","RO","2002","SAO MIGUEL DO GUAPORE",21,1100320,"São Miguel do Guaporé",11005,"Alvorada D'Oeste","Não",12713.772,4074.374,13695.578,39207.417,69691.141,4046.276,73737.417,2759.63,NA,NA,NA,NA,NA,NA
"17",0.423,"NOVA MAMORE","RO","2002","NOVA MAMORE",22,1100338,"Nova Mamoré",11001,"Porto Velho","Não",8889.11,5005.18,9255.414,25311.529,48461.232,2880.089,51341.322,3030.6,NA,NA,NA,NA,NA,NA
"18",0.508,"CABIXI","RO","2002","CABIXI",23,1100031,"Cabixi",11008,"Colorado do Oeste","Não",10883.801,1961.907,5128.876,11925.001,29899.585,1867.935,31767.52,4246.99,NA,NA,NA,NA,NA,NA
"19",0.332,"CANDEIAS DO JAMARI","RO","2002","CANDEIAS DO JAMARI",24,1100809,"Candeias do Jamari",11001,"Porto Velho","Não",6850.543,19339.516,9707.301,23123.302,59020.662,2386.677,61407.339,4162.08,NA,NA,NA,NA,NA,NA
"20",0.67,"ITAPUA DO OESTE","RO","2002","ITAPUA DO OESTE",25,1101104,"Itapuã do Oeste",11001,"Porto Velho","Não",6301.092,8874.828,7782.648,12910.342,35868.91,1594.173,37463.083,4961.34,NA,NA,NA,NA,NA,NA
"21",0.559,"NOVO HORIZONTE DO OESTE","RO","2002","NOVO HORIZONTE DO OESTE",26,1100502,"Novo Horizonte do Oeste",11006,"Cacoal","Não",12073.527,3184.368,8291.716,18800.254,42349.866,4225.085,46574.951,3718.56,NA,NA,NA,NA,NA,NA
"22",0.747,"CASTANHEIRAS","RO","2002","CASTANHEIRAS",27,1100908,"Castanheiras",11006,"Cacoal","Não",7367.574,643.103,2170.301,7392.489,17573.466,879.203,18452.669,4430.41,NA,NA,NA,NA,NA,NA
"23",0.121,"VALE DO PARAISO","RO","2002","VALE DO PARAISO",28,1101807,"Vale do Paraíso",11004,"Ji-Paraná","Não",10674.479,1449.915,5054.01,15660.942,32839.345,1852.734,34692.08,3438.95,NA,NA,NA,NA,NA,NA
"24",0.533,"URUPA","RO","2002","URUPA",29,1101708,"Urupá",11004,"Ji-Paraná","Não",10574.516,2950.5,7749.087,23597.496,44871.599,2686.303,47557.901,2972.37,NA,NA,NA,NA,NA,NA
"25",0.309,"MIRANTE DA SERRA","RO","2002","MIRANTE DA SERRA",30,1101302,"Mirante da Serra",11004,"Ji-Paraná","Não",8710.455,3826.594,9206.199,20971.77,42715.019,2523.84,45238.859,3340.63,NA,NA,NA,NA,NA,NA
"26",0.425,"SERINGUEIRAS","RO","2002","SERINGUEIRAS",31,1101500,"Seringueiras",11005,"Alvorada D'Oeste","Não",7964.154,3536.827,6140.085,19867.996,37509.062,2199.199,39708.261,2950.75,NA,NA,NA,NA,NA,NA
"27",0.469,"THEOBROMA","RO","2002","THEOBROMA",32,1101609,"Theobroma",11004,"Ji-Paraná","Não",13202.214,1530.146,4643.374,18837.442,38213.177,1957.673,40170.849,3245.34,NA,NA,NA,NA,NA,NA
"28",0.671,"MINISTRO ANDREAZZA","RO","2002","MINISTRO ANDREAZZA",33,1101203,"Ministro Andreazza",11006,"Cacoal","Não",9339.077,1940.062,5866.674,18463.635,35609.448,2122.685,37732.133,3340.31,NA,NA,NA,NA,NA,NA
"29",0.441,"GOVERNADOR JORGE TEIXEIRA","RO","2002","GOVERNADOR JORGE TEIXEIRA",34,1101005,"Governador Jorge Teixeira",11004,"Ji-Paraná","Não",12082.494,1717.5,4590.481,23899.035,42289.51,1689.218,43978.728,2811.94,NA,NA,NA,NA,NA,NA
"30",0.505,"CACAULANDIA","RO","2002","CACAULANDIA",35,1100601,"Cacaulândia",11003,"Ariquemes","Não",13157.971,882.628,3501.049,8473.42,26015.068,1691.7,27706.768,5123.29,NA,NA,NA,NA,NA,NA
"31",0.725,"ALTO PARAISO","RO","2002","ALTO PARAISO",36,1100403,"Alto Paraíso",11003,"Ariquemes","Não",9171.025,1992.315,8865.198,21812.659,41841.197,3219.267,45060.464,3121.4,NA,NA,NA,NA,NA,NA
"32",0.495,"RIO CRESPO","RO","2002","RIO CRESPO",37,1100262,"Rio Crespo",11003,"Ariquemes","Não",6483.577,631.102,1864.121,5735.033,14713.833,835.611,15549.444,4865.28,NA,NA,NA,NA,NA,NA
"33",0.502,"CORUMBIARA","RO","2002","CORUMBIARA",38,1100072,"Corumbiara",11008,"Colorado do Oeste","Não",19766.726,1918.67,5504.377,15639.582,42829.355,2335.486,45164.841,4493.57,NA,NA,NA,NA,NA,NA
"34",0.676,"MONTE NEGRO","RO","2002","MONTE NEGRO",39,1101401,"Monte Negro",11003,"Ariquemes","Não",10108.661,6396.807,8812.275,20902.218,46219.961,3300.514,49520.475,3467.82,NA,NA,NA,NA,NA,NA
"35",0.654,"CAMPO NOVO DE RONDONIA","RO","2002","CAMPO NOVO DE RONDONIA",40,1100700,"Campo Novo de Rondônia",11001,"Porto Velho","Não",6601.234,1594.439,4166.414,21147.826,33509.912,1282.624,34792.536,2442.61,NA,NA,NA,NA,NA,NA
"36",0.601,"CUJUBIM","RO","2002","CUJUBIM",41,1100940,"Cujubim",11001,"Porto Velho","Não",4152.09,8343.657,6971.742,12477.169,31944.658,1972.816,33917.474,4471.06,NA,NA,NA,NA,NA,NA
"37",0.566,"VALE DO ANARI","RO","2002","VALE DO ANARI",42,1101757,"Vale do Anari",11003,"Ariquemes","Não",5148.997,1625.809,3241.248,13253.745,23269.799,1174.693,24444.492,2719.08,NA,NA,NA,NA,NA,NA
"38",0.348,"PARECIS","RO","2002","PARECIS",43,1101450,"Parecis",11007,"Vilhena","Não",5658.333,609.098,2335.042,6423.79,15026.263,859.445,15885.707,4591.24,NA,NA,NA,NA,NA,NA
"39",0.454,"SAO FELIPE D OESTE","RO","2002","SAO FELIPE D OESTE",44,1101484,"São Felipe D'Oeste",11007,"Vilhena","Não",6613.625,1034.64,3069.279,11389.337,22106.882,1016.883,23123.765,3239.53,NA,NA,NA,NA,NA,NA
"40",0.365,"PRIMAVERA DE RONDONIA","RO","2002","PRIMAVERA DE RONDONIA",45,1101476,"Primavera de Rondônia",11007,"Vilhena","Não",5929.092,558.179,2945.635,7289.673,16722.579,1444.55,18167.129,4183.08,NA,NA,NA,NA,NA,NA
"41",0.419,"ALTO ALEGRE DOS PARECIS","RO","2002","ALTO ALEGRE DOS PARECIS",46,1100379,"Alto Alegre dos Parecis",11006,"Cacoal","Não",12917.461,2901.849,7271.061,20608.577,43698.948,2440.23,46139.178,3349.49,NA,NA,NA,NA,NA,NA
"42",0.234,"NOVA UNIAO","RO","2002","NOVA UNIAO",47,1101435,"Nova União",11004,"Ji-Paraná","Não",9351.054,1206.832,3370.01,13666.984,27594.879,1257.558,28852.437,3302.71,NA,NA,NA,NA,NA,NA
"43",0.202,"TEIXEIROPOLIS","RO","2002","TEIXEIROPOLIS",48,1101559,"Teixeirópolis",11004,"Ji-Paraná","Não",6654.016,752.511,2621.983,9062.964,19091.474,1078.932,20170.405,3523.21,NA,NA,NA,NA,NA,NA
"44",0.552,"BURITIS","RO","2002","BURITIS",49,1100452,"Buritis",11001,"Porto Velho","Não",12444.423,13905.912,20521.497,45270.909,92142.741,5803.587,97946.328,3033.05,NA,NA,NA,NA,NA,NA
"45",0.504,"PIMENTEIRAS DO OESTE","RO","2002","PIMENTEIRAS DO OESTE",50,1101468,"Pimenteiras do Oeste",11008,"Colorado do Oeste","Não",6463.125,460.465,2037.26,5034.812,13995.661,813.573,14809.234,5766.84,NA,NA,NA,NA,NA,NA
"46",0.427,"SAO FRANCISCO DO GUAPORE","RO","2002","SAO FRANCISCO DO GUAPORE",51,1101492,"São Francisco do Guaporé",11002,"Guajará-Mirim","Não",8512.874,5539.279,10470.721,21430.01,45952.884,3159.925,49112.809,3455.24,NA,NA,NA,NA,NA,NA
