"","codigo_do_municipio","Year","UF","index_centrao","producao_valor_total_bruto","populacao","taxa_analfabetismo","vab_pub","vab_total","vab_agro","vab_ind","vab_serv","shift_share_iv","pib_per_capita","share_GDP_agro","share_GDP_ind","share_GDP_serv","share_GDP_pub","share_GDP_other","hhi_sectors","diversification_index","producao_milhoes","shift_share_iv_milhoes","index_centrao_pct","ln_pop","year_factor","shift_share_iv_new_2_milhoes"
"1",1100015,2014,"RO",0.821,52783.2395259295,25652,10.8033333333333,126476.579,359006.417,122730.968,22048.251,87750.619,0.0795062848414876,14727.86,0.34186288096349,0.0614146431817123,0.24442632455787,0.352296151296928,1.11022302462516e-16,0.304498794133291,0.695501205866709,0.0527832395259295,7.95062848414876e-08,82.1,10.1523768202688,"2014",0.0247741772405555
"2",1100015,2018,"RO",0.439,60748.7940725289,23167,9.60666666666666,155271.086,470725.493,165892.171,26059.864,123502.372,0.0862550503904716,21538.4,0.352418072670647,0.0553610636932298,0.262366015515544,0.32985484812058,0,0.304903492244292,0.695096507755708,0.0607487940725289,8.62550503904716e-08,43.9,10.0504841312705,"2018",0.0278693044201111
"3",1100015,2022,"RO",0.157,119111.007364724,NA,8.41,173121.632,684872.922,311468.683,27847.187,172435.421,0.153658613119816,32619.88,0.454783176549649,0.0406603708592818,0.251777250145101,0.252779203906093,-1.46012490986891e-09,0.33577011304903,0.66422988695097,0.119111007364724,1.53658613119816e-07,15.7,NA,"2022",0.0513284154838758
"4",1100015,NA,NA,0.129,NA,NA,NA,42700.523,103741.729,27013.223,9376.871,24651.113,NA,4047.83,0.260389172808176,0.0903866851881753,0.23762003234012,0.411604119302851,-9.63932267339374e-09,0.301853504971428,0.698146495028572,NA,NA,12.9,NA,NA,NA
"5",1100023,2002,"RO",0.546,40854.0331488668,78039,11.1,116562.182,406926.845,28590.178,99922.936,161851.549,0.0456017121815687,5667.37,0.0702587660442997,0.245555035819768,0.397741144357286,0.286445053778647,0,0.30548235657141,0.69451764342859,0.0408540331488668,4.56017121815687e-08,54.6,11.2649639807134,"2002",0.0103351279068403
"6",1100023,2006,"RO",0.305,29376.3131987589,86924,9.5,203747.507,690275.914,42170.266,152518.06,291840.08,0.0429797206633656,9096.41,0.061091898391228,0.220952313280339,0.422787575346284,0.295168211533454,1.44869605200881e-09,0.318425751760024,0.681574248239976,0.0293763131987589,4.29797206633656e-08,30.5,11.3727894526396,"2006",0.013599726736737
"7",1100023,2010,"RO",0.48,50119,NA,7.9,343867.731,1199664.227,73711.643,287138.585,494946.267,0.0496864628967624,15103.86,0.0614435617408804,0.239349126645251,0.41257066424137,0.286636646538932,8.33566438096511e-10,0.3134384358369,0.6865615641631,0.050119,4.96864628967624e-08,48,NA,"2010",0.012900428167545
"8",1100023,2014,"RO",0.235,15762.015274699,102860,7.24,487603.38,1725928.174,110861.637,347522.419,779940.739,0.0597446545633525,18681.04,0.0642330536519766,0.201353928996121,0.451896406089956,0.282516611841345,-5.79398307110068e-10,0.328695287706964,0.671304712293036,0.015762015274699,5.97446545633525e-08,23.5,11.5411241193289,"2014",0.0130108520328839
"9",1100023,2018,"RO",0.473,24366.3935969216,106168,6.58,674541.006,2212749.898,163120.731,341000.521,1034087.64,0.0648159853047772,23215.13,0.0737185576858176,0.154107123135884,0.467331459797903,0.304842859380396,0,0.34051129338055,0.65948870661945,0.0243663935969216,6.48159853047772e-08,47.3,11.5727780241171,"2018",0.0144169991941906
"10",1100023,2022,"RO",0.368,57345.3013809483,NA,5.92,782306.216,2789566.041,293000.779,406329.129,1307929.918,0.115466101577128,28878.27,0.105034537520741,0.145660336779243,0.468865012972102,0.280440113086392,-3.58478580153587e-10,0.330730245200076,0.669269754799924,0.0573453013809483,1.15466101577128e-07,36.8,NA,"2022",0.0244810235598781
"11",1100031,2002,"RO",0.508,12998.0606744732,7490,16.8,11925.001,29899.585,10883.801,1961.907,5128.876,0.0187651954277459,4246.99,0.364011774745369,0.0656165294601915,0.171536695241757,0.398835000552683,0,0.325304296571995,0.674695703428005,0.0129980606744732,1.87651954277459e-08,50.8,8.92132407651127,"2002",0.00984685927382536
"12",1100031,2006,"RO",0.852,21748.6563459948,7421,15.3,17776.334,43780.333,14893.759,3121.283,7988.957,0.0176862406934792,6317.72,0.3401929126487,0.0712941813393699,0.182478214590099,0.406034691421831,0,0.318976547547269,0.681023452452731,0.0217486563459948,1.76862406934792e-08,85.2,8.91206909797013,"2006",0.00836043765894296
"13",1100031,2010,"RO",0.651,26570,NA,13.8,25170.235,65400.772,24300.822,3252.506,12677.21,0.0204460784862381,11033.62,0.371567815743826,0.0497319205956774,0.193838843370228,0.384861435580608,-1.52903394390336e-08,0.326227727419047,0.673772272580953,0.02657,2.04460784862381e-08,65.1,NA,"2010",0.00957166005505465
"14",1100031,2014,"RO",0.517,52325.8777310911,6424,12.5933333333333,34512.842,109127.849,49745.794,4657.996,20211.216,0.024585044398785,17664.6,0.455848754060936,0.0426838432415176,0.185206766056573,0.31626062747741,9.16356368563243e-09,0.343942327738314,0.656057672261686,0.0523258777310911,2.4585044398785e-08,51.7,8.7677962556266,"2014",0.0111775523953843
"15",1100031,2018,"RO",0.539,82604.1180512524,5438,11.3866666666667,42163.897,134852.145,62337.414,5178.789,25172.045,0.0266719071039102,25837.3,0.462264905018752,0.0384034603231561,0.186664031187639,0.312667603470453,0,0.347768158975964,0.652231841024036,0.0826041180512524,2.66719071039102e-08,53.9,8.60116662519242,"2018",0.0114590002274496
"16",1100031,2022,"RO",0.118,174047.250581132,NA,10.18,46579.249,227218.943,136659.3,8115.023,35865.371,0.0475145308743586,47051.83,0.601443252026747,0.0357145530775574,0.157844986542341,0.204997208353355,0,0.429948409919259,0.570051590080741,0.174047250581132,4.75145308743586e-08,11.8,NA,"2022",0.0223491137395353
"17",1100049,2002,"RO",0.601,32580.6402465968,74381,11.5,117968.303,424820.146,32810.376,98292.764,175748.703,0.133117269618933,6353.27,0.0772335688618684,0.231375006400944,0.413701432605788,0.277689992131399,0,0.307760024816196,0.692239975183804,0.0325806402465968,1.33117269618933e-07,60.1,11.216955811863,"2002",0.0413883642813495
"18",1100049,2006,"RO",0.291,34138.5468572755,76422,9.9,190621.193,662458.52,47193.624,163354.091,261289.611,0.125463338764813,9724.87,0.071240119305885,0.246587652008763,0.394424108244543,0.28774811893128,1.5095285021971e-09,0.304249981834905,0.695750018165095,0.0341385468572755,1.25463338764813e-07,29.1,11.2440258918178,"2006",0.056143832477572
"19",1100049,2010,"RO",0.634,63833,NA,8.3,298454.309,1041212.374,95259.203,182051.537,465447.325,0.145041182916652,15095.15,0.0914887350349526,0.174845729407361,0.447024388705546,0.286641146852141,0,0.320935168896565,0.679064831103435,0.063833,1.45041182916652e-07,63.4,NA,"2010",0.0529340482883313
"20",1100049,2014,"RO",0.716,49718.1778201976,86556,7.63,416872.976,1481895.307,149458.621,186452.117,729111.592,0.174402339502819,19185.84,0.100856396733295,0.125820033385125,0.492012889544835,0.281310679661934,6.74811539980169e-10,0.347215075533175,0.652784924466825,0.0497181778201976,1.74402339502819e-07,71.6,11.3685468822917,"2014",0.0536945024872068
"21",1100049,2018,"RO",0.203,73591.6736892965,84813,6.96,548595.488,1951001.226,212492.509,219209.399,970703.83,0.189206206930978,25654.56,0.10891459532071,0.112357386596537,0.497541373661853,0.281186644420899,0,0.351099918902687,0.648900081097313,0.0735916736892965,1.89206206930978e-07,20.3,11.3482041119173,"2018",0.0606178402839711
"22",1100049,2022,"RO",0.021,91907.5252889627,NA,6.29000000000001,629109.371,2407776.113,341314.544,236722.362,1200629.836,0.337060418132765,32313.26,0.141755100134595,0.0983157697768887,0.498646792580752,0.261282337507765,0,0.346677582645584,0.653322417354416,0.0919075252889627,3.37060418132765e-07,2.1,NA,"2022",0.105549404079274
"23",1100056,2002,"RO",0.532,21241.0576441516,17925,12.4,27731.366,70972.643,11283.793,6651.475,25306.009,0.0268114505385243,4442.47,0.158987921585504,0.0937188572785714,0.356560048073735,0.39073317306219,0,0.313867863833271,0.686132136166729,0.0212410576441516,2.68114505385243e-08,53.2,9.79395166546782,"2002",0.0193110706904525
"24",1100056,2006,"RO",0.865,35244.5705725915,17215,11.4,40633.869,109245.145,17440.184,10348.036,40823.056,0.0252698550031894,7227.12,0.15964264590431,0.0947230744212935,0.373683022710071,0.371951256964325,0,0.312444974238228,0.687555025761772,0.0352445705725915,2.52698550031894e-08,86.5,9.75353637577262,"2006",0.0155944423641018
"25",1100056,2010,"RO",0.834,63801,NA,10.4,63018.27,192454.16,28976.415,19734.484,80724.991,0.0292130729014425,13037.06,0.150562684641371,0.102541218126956,0.419450486287228,0.327445610944445,1.11022302462516e-16,0.31634316199475,0.68365683800525,0.063801,2.92130729014425e-08,83.4,NA,"2010",0.0194960352529368
"26",1100056,2014,"RO",0.474,102931.484969338,18013,9.55,87652.859,332043.324,50427.38,23746.656,170216.43,0.035126769898214,21785.2,0.151869880690629,0.0715167397854383,0.512633194817674,0.263980187717914,-3.01165492544442e-09,0.360657436667084,0.639342563332916,0.102931484969338,3.5126769898214e-08,47.4,9.79884899842356,"2014",0.0264016568301334
"27",1100056,2018,"RO",0.363,93989.4295057779,16444,8.7,109796.03,401886.269,61973.278,21637.743,208479.218,0.0381084503403172,28621.22,0.154206009959499,0.0538404635068535,0.518751781489703,0.273201745043944,0,0.370420893312059,0.629579106687941,0.0939894295057779,3.81084503403172e-08,36.3,9.70771594801777,"2018",0.0289260588008453
"28",1100056,2022,"RO",0.04,222386.638645201,NA,7.84999999999999,123364.617,611133.444,151690.475,27412.337,308666.016,0.0678881016349785,46185.81,0.248211706443609,0.0448549122440107,0.505071386667557,0.201861996281126,-1.63630398120063e-09,0.359466385540957,0.640533614459043,0.222386638645201,6.78881016349785e-08,4,NA,"2022",0.0544588348024665
"29",1100064,2002,"RO",0.619,18936.6660045526,20881,13.2,31210.022,80144.765,14250.128,10881.687,23802.929,0.0187369959355353,4253.57,0.177804851009295,0.135775393439609,0.296999173932321,0.389420594096196,-1.24774213183798e-08,0.289906430928834,0.710093569071166,0.0189366660045526,1.87369959355353e-08,61.9,9.94659493357006,"2002",0.00824024178978844
"30",1100064,2006,"RO",0.672,14635.6171049856,18342,13.05,43493.942,115035.664,20635.237,17593.974,33312.511,0.0176596626059452,6905.98,0.179381213464374,0.152943647111039,0.289584202339198,0.378090937085389,1.11022302462516e-16,0.282381145886115,0.717618854113885,0.0146356171049856,1.76596626059452e-08,67.2,9.81694879111889,"2006",0.00695073184526415
"31",1100064,2010,"RO",0.667,17679,NA,12.9,67462.041,176263.775,35817.583,18305.912,54678.238,0.0204153530385213,10380.21,0.203204447425457,0.103855213585435,0.310206893049919,0.382733440265874,5.67331559508943e-09,0.294791155635797,0.705208844364203,0.017679,2.04153530385213e-08,66.7,NA,"2010",0.00825385130999268
"32",1100064,2014,"RO",0.473,19908.5163211296,19001,11.7766666666667,89406.834,257100.122,64796.954,28333.408,74562.925,0.0245480990991376,14407.59,0.252030039876838,0.110203790568407,0.290015128814291,0.347751036850928,3.88953536045733e-09,0.280703575028031,0.719296424971969,0.0199085163211296,2.45480990991376e-08,47.3,9.85224688834253,"2014",0.0108171744068426
"33",1100064,2018,"RO",0.531,11470.2240232378,16227,10.6533333333333,105914.52,308862.467,73479.137,26046.146,103422.664,0.0266318257607921,20350.76,0.237902448017421,0.0843292687939322,0.334850216682366,0.342918066506281,0,0.293426468296634,0.706573531703366,0.0114702240232378,2.66318257607921e-08,53.1,9.69443180053954,"2018",0.0121782631668232
"34",1100064,2022,"RO",0.132,25796.2275027573,NA,9.53,114880.697,391795.891,123523.517,28793.808,124597.87,0.0474431281730949,27923.92,0.315275172194187,0.0734918580348256,0.318017296409063,0.293215675914273,-2.55234944290805e-09,0.291909920816679,0.70809007918332,0.0257962275027573,4.74431281730949e-08,13.2,NA,"2022",0.0259637215236914
"35",1100072,2002,"RO",0.502,16064.2503746486,10160,17.7,15639.582,42829.355,19766.726,1918.67,5504.377,0.0168507632343326,4493.57,0.461522850390812,0.044798012951631,0.12851879277659,0.365160343880967,0,0.364869360237293,0.635130639762707,0.0160642503746486,1.68507632343326e-08,50.2,9.22621372113247,"2002",0.0151570293272311
"36",1100072,2006,"RO",0.822,30534.8764084687,9409,14.85,22555.528,64718.444,28909.32,5193.22,8060.376,0.0158818838620022,7326.53,0.446693681325218,0.0802432765534351,0.124545268733593,0.348517773387753,0,0.342950390698987,0.657049609301013,0.0305348764084687,1.58818838620022e-08,82.2,9.14942195700677,"2006",0.0128157681799224
"37",1100072,2010,"RO",0.758,66869,NA,12,34012.729,108755.67,51205.533,7946.464,15590.944,0.0183601619801284,13038.89,0.470830927711631,0.0730671237646736,0.143357527933946,0.312744420589749,0,0.345381020490388,0.654618979509612,0.066869,1.83601619801284e-08,75.8,NA,"2010",0.0142471374534068
"38",1100072,2014,"RO",0.435,124268.150378866,8938,10.8266666666667,47048.114,179763.138,97413.705,9622.217,25679.102,0.0220768690560471,20907.14,0.541900336653002,0.0535271975503676,0.142849653636999,0.261722812159632,0,0.385425989691189,0.614574010308811,0.124268150378866,2.20768690560471e-08,43.5,9.0980671294934,"2014",0.0151621419041082
"39",1100072,2018,"RO",0.59,92853.9435007205,7567,9.65333333333334,57122.411,310037.362,212545.316,9812.763,30556.872,0.0239508292544381,42343.91,0.685547427667766,0.0316502596225806,0.0985586762926979,0.184243636416955,1.11022302462516e-16,0.51463654474878,0.48536345525122,0.0928539435007205,2.39508292544381e-08,59,8.93155196669452,"2018",0.0141577407745477
"40",1100072,2022,"RO",0.105,270177.829464976,NA,8.48,60535.181,380657.153,260728.227,14003.212,45390.532,0.0426670808218904,56257.46,0.684942408004612,0.0367869403993572,0.119242556306304,0.159028092662691,2.62703581110912e-09,0.510008102757498,0.489991897242502,0.270177829464976,4.26670808218904e-08,10.5,NA,"2022",0.0241090292117618
