,0
0,Abilio Brunini
1,Adilson Barroso
2,Adriana Ventura
3,Alberto Fraga
4,Alfredo Gaspar
5,Altineu Côrtes
6,Amália Barros
7,André Fernandes
8,André Ferreira
9,Antonio Carlos Rodrigues
10,Any Ortiz
11,Bia Kicis
12,Bibo Nunes
13,Cabo Gilberto Silva
14,Capitão Alberto Neto
15,Capitão Alden
16,Capitão Augusto
17,Carla Zambelli
18,Carlos Jordy
19,Caroline de Toni
20,Chris Tonietto
21,Clarissa Tércio
22,Coronel Assis
23,Coronel Chrisóstomo
24,Coronel Fernanda
25,Coronel Meira
26,Coronel Telhada
27,Coronel Ulysses
28,Covatti Filho
29,Daniel Freitas
30,Daniel Trzeciak
31,Daniela Reinehr
32,Dayany Bittencourt
33,Delegado Caveira
34,Delegado Fabio Costa
35,Delegado Palumbo
36,Delegado Paulo Bilynskyj
37,Delegado Ramagem
38,Delegado Éder Mauro
39,Domingos Sávio
40,Dr. Fernando Máximo
41,Dr. Frederico
42,Dr. Jaziel
43,Eduardo Bolsonaro
44,Eli Borges
45,Emidinho Madeira
46,Eros Biondini
47,Evair Vieira de Melo
48,Fernando Rodolfo
49,Filipe Barros
50,Filipe Martins
51,General Girão
52,General Pazuello
53,Geovania de Sá
54,Giacobo
55,Gilson Marques
56,Gilvan da Federal
57,Giovani Cherini
58,Gustavo Gayer
59,Helio Lopes
60,Jefferson Campos
61,Joaquim Passarinho
62,José Medeiros
63,Julia Zanatta
64,Junio Amaral
65,Kim Kataguiri
66,Lincoln Portela
67,Lucas Redecker
68,Luiz Carlos Motta
69,Luiz Lima
70,Luiz Philippe de Orleans e Bragança
71,Magda Mofatto
72,Marcel van Hattem
73,Marcelo Moraes
74,Marcelo Álvaro Antônio
75,Marcio Alvino
76,Marcos Pollon
77,Mario Frias
78,Mauricio Marcon
79,Mauricio do Vôlei
80,Maurício Carvalho
81,Mendonça Filho
82,Messias Donato
83,Miguel Lombardi
84,Nicoletti
85,Nikolas Ferreira
86,Osmar Terra
87,Pastor Diniz
88,Pastor Eurico
89,Paulo Freire Costa
90,Pedro Westphalen
91,Pezenti
92,Pr. Marco Feliciano
93,Professor Alcides
94,Ricardo Guidi
95,Ricardo Salles
96,Roberta Roma
97,Roberto Monteiro Pai
98,Rodolfo Nogueira
99,Rodrigo Valadares
100,Rosana Valle
101,Rosangela Moro
102,Sanderson
103,Sargento Fahur
104,Sargento Gonçalves
105,Silvia Cristina
106,Silvia Waiãpi
107,Sonize Barbosa
108,Soraya Santos
109,Sóstenes Cavalcante
110,Vermelho
111,Wellington Roberto
112,Zucco
113,Zé Trovão
