,0
0,Airton Faleiro
1,Alencar Santana
2,Alexandre Lindenmeyer
3,Alfredinho
4,Alice Portugal
5,Ana Paula Lima
6,Ana Pimentel
7,André Figueiredo
8,André Janones
9,Arlindo Chinaglia
10,Bacelar
11,Bandeira de Mello
12,Benedita da Silva
13,Bohn Gass
14,Camila Jara
15,Carlos Veras
16,Carlos Zarattini
17,Carol Dartora
18,Chico Alencar
19,Clodoaldo Magalhães
20,Célia Xakriabá
21,Dagoberto Nogueira
22,Daiana Santos
23,Dandara
24,Daniel Almeida
25,Daniel Barbosa
26,Daniela do Waguinho
27,Delegada Adriana Accorsi
28,Denise Pessôa
29,Dilvanda Faro
30,Dimas Gadelha
31,Dorinaldo Malafaia
32,Dr. Francisco
33,Duarte Jr.
34,Duda Salabert
35,Elcione Barbalho
36,Eriberto Medeiros
37,Erika Hilton
38,Erika Kokay
39,Fernanda Melchionna
40,Fernando Mineiro
41,Florentino Neto
42,Flávio Nogueira
43,Gervásio Maia
44,Glauber Braga
45,Gleisi Hoffmann
46,Guilherme Boulos
47,Guilherme Uchoa
48,Helder Salomão
49,Idilvan Alencar
50,Ivan Valente
51,Ivoneide Caetano
52,Jack Rocha
53,Jandira Feghali
54,Jilmar Tatto
55,Jonas Donizette
56,Jorge Solla
57,Joseildo Ramos
58,Josenildo
59,Josias Gomes
60,José Airton Félix Cirilo
61,José Guimarães
62,João Daniel
63,Juliana Cardoso
64,Kiko Celeguim
65,Leo Prates
66,Leonardo Monteiro
67,Leônidas Cristino
68,Lindbergh Farias
69,Lucas Ramos
70,Luciano Amaral
71,Luciano Ducci
72,Luiz Couto
73,Luiza Erundina
74,Luizianne Lins
75,Lídice da Mata
76,Marcon
77,Marcos Tavares
78,Maria Arraes
79,Maria do Rosário
80,Mauro Benevides Filho
81,Merlong Solano
82,Miguel Ângelo
83,Márcio Jerry
84,Natália Bonavides
85,Nilto Tatto
86,Odair Cunha
87,Orlando Silva
88,Padre João
89,Pastor Henrique Vieira
90,Pastor Sargento Isidório
91,Patrus Ananias
92,Paulo Guedes
93,Paulão
94,Pedro Campos
95,Pedro Uczai
96,Prof. Reginaldo Veras
97,Professora Goreth
98,Professora Luciene Cavalcante
99,Reginaldo Lopes
100,Reginete Bispo
101,Reimont
102,Renildo Calheiros
103,Rogério Correia
104,Rubens Otoni
105,Rubens Pereira Júnior
106,Rui Falcão
107,Sâmia Bomfim
108,Tabata Amaral
109,Tadeu Veneri
110,Talíria Petrone
111,Tarcísio Motta
112,Túlio Gadêlha
113,Valmir Assunção
114,Vander Loubet
115,Vicentinho
116,Waldenor Pereira
117,Washington Quaquá
118,Welter
119,Zeca Dirceu
120,Zé Neto
