,nm_municipio,0,sg_uf
0,ABADIA DE GOIÁS,0.24096385542168675,GO
1,ABADIA DOS DOURADOS,0.336506303061487,MG
2,ABADIÂNIA,0.23568554627050448,GO
3,ABAETETUBA,0.041756552691187575,PA
4,ABAETÉ,0.04019632732504019,MG
5,ABAIARA,0.6550183920126117,CE
6,ABARÉ,0.6597091932457786,BA
7,ABATIÁ,0.3944145026947575,PR
8,ABAÍRA,0.5455212922173275,BA
9,ABDON BATISTA,0.6406345332519829,SC
10,ABEL FIGUEIREDO,0.1092511013215859,PA
11,ABELARDO LUZ,0.4330528846153846,SC
12,ABRE CAMPO,0.37053447798393796,MG
13,ABREU E LIMA,0.45714342932671126,PE
14,ABREULÂNDIA,0.35289855072463766,TO
15,ACAIACA,0.04627487274409996,MG
16,ACAJUTIBA,0.4507941706238742,BA
17,ACARAPE,0.7764660592839728,CE
18,ACARAÚ,0.049640879844381265,CE
19,ACARI,0.25261821643922566,RN
20,ACARÁ,0.037436411836354516,PA
21,ACAUÃ,0.49325871279572625,PI
22,ACEGUÁ,0.14113597246127366,RS
23,ACOPIARA,0.6708331537433732,CE
24,ACORIZAL,0.12616364527192553,MT
25,ACRELÂNDIA,0.08967160115705292,AC
26,ACREÚNA,0.5266076466582352,GO
27,ADAMANTINA,0.3037724898432966,SP
28,ADELÂNDIA,0.5254582484725051,GO
29,ADOLFO,0.46512641673932,SP
30,ADRIANÓPOLIS,0.42677824267782427,PR
31,ADUSTINA,0.7924361057763333,BA
32,AFOGADOS DA INGAZEIRA,0.3207297892419,PE
33,AFONSO BEZERRA,0.22363488182559088,RN
34,AFONSO CLÁUDIO,0.12042358106799252,ES
35,AFONSO CUNHA,0.31894934333958724,MA
36,AFRÂNIO,0.652960815322439,PE
37,AFUÁ,0.5068708037899228,PA
38,AGRESTINA,0.18304138106118303,PE
39,AGRICOLÂNDIA,0.867941440095608,PI
40,AGROLÂNDIA,0.22434132913881244,SC
41,AGRONÔMICA,0.21752066115702479,SC
42,AGUANIL,0.12939358825801467,MG
43,AGUAÍ,0.4360827664399093,SP
44,AGUDO,0.12065504490227152,RS
45,AGUDOS,0.10936617911213754,SP
46,AGUDOS DO SUL,0.29015650741350907,PR
47,AGUIAR,0.6527958387516255,PB
48,AGUIARNÓPOLIS,0.6114309210526315,TO
49,AIMORÉS,0.6663950456323338,MG
50,AIQUARA,0.5533942040492259,BA
51,AIUABA,0.8953265516733009,CE
52,AIURUOCA,0.09329993738259236,MG
53,AJURICABA,0.1173780487804878,RS
54,ALAGOA,0.07519708914493632,MG
55,ALAGOA GRANDE,0.7592987804878049,PB
56,ALAGOA NOVA,0.12736179146256124,PB
57,ALAGOINHA,0.4066999925389838,PB
58,ALAGOINHA DO PIAUÍ,0.18006352308819937,PI
59,ALAGOINHAS,0.1884270101483216,BA
60,ALAMBARI,0.4010097367472052,SP
61,ALBERTINA,0.31096849474912486,MG
62,ALCANTIL,0.4245343609505459,PB
63,ALCINÓPOLIS,0.16111364673664993,MS
64,ALCOBAÇA,0.3196250732278852,BA
65,ALCÂNTARA,0.41831926173178874,MA
66,ALCÂNTARAS,0.03752719361856418,CE
67,ALDEIAS ALTAS,0.2363130219610269,MA
68,ALECRIM,0.4750949296403842,RS
69,ALEGRE,0.11626080125687353,ES
70,ALEGRETE,0.37400389587391536,RS
71,ALEGRETE DO PIAUÍ,0.5472376593658058,PI
72,ALEGRIA,0.3327974276527331,RS
73,ALENQUER,0.008058850270694714,PA
74,ALEXANDRIA,0.0260932944606414,RN
75,ALEXÂNIA,0.2235002654397452,GO
76,ALFENAS,0.13606726655848944,MG
77,ALFREDO CHAVES,0.14398712964204316,ES
78,ALFREDO MARCONDES,0.1388337961126537,SP
79,ALFREDO VASCONCELOS,0.018659881255301103,MG
80,ALFREDO WAGNER,0.2990466633216257,SC
81,ALGODÃO DE JANDAÍRA,0.832348199892531,PB
82,ALHANDRA,0.42325067764280694,PB
83,ALIANÇA,0.12470427095006849,PE
84,ALIANÇA DO TOCANTINS,0.5148968678380443,TO
85,ALMADINA,0.3089770354906054,BA
86,ALMAS,0.39286741443773365,TO
87,ALMEIRIM,0.022063253012048194,PA
88,ALMENARA,0.13250505634209767,MG
89,ALMINO AFONSO,0.0058496636443404505,RN
90,ALMIRANTE TAMANDARÉ,0.2293053784766492,PR
91,ALMIRANTE TAMANDARÉ DO SUL,0.20808823529411766,RS
92,ALOÂNDIA,0.5379061371841155,GO
93,ALPERCATA,0.4142084562438545,MG
94,ALPESTRE,0.23815461346633415,RS
95,ALPINÓPOLIS,0.2433892522035826,MG
96,ALTA FLORESTA,0.187096476664822,MT
97,ALTA FLORESTA D'OESTE,0.3332150776053215,RO
98,ALTAIR,0.8191899710703954,SP
99,ALTAMIRA,0.029754851620717802,PA
100,ALTAMIRA DO MARANHÃO,0.16309148264984227,MA
101,ALTAMIRA DO PARANÁ,0.1802349129202106,PR
102,ALTANEIRA,0.500408608008717,CE
103,ALTEROSA,0.43047409579667645,MG
104,ALTINHO,0.10058666666666667,PE
105,ALTINÓPOLIS,0.6062740076824584,SP
106,ALTO ALEGRE,0.18323754789272031,RR
107,ALTO ALEGRE DO MARANHÃO,0.5613695090439277,MA
108,ALTO ALEGRE DO PINDARÉ,0.3062755798090041,MA
109,ALTO ALEGRE DOS PARECIS,0.32655305112699284,RO
110,ALTO ARAGUAIA,0.03367496339677892,MT
111,ALTO BELA VISTA,0.4438202247191011,SC
112,ALTO BOA VISTA,0.45084055017829855,MT
113,ALTO CAPARAÓ,0.3866083445491252,MG
114,ALTO DO RODRIGUES,0.23681377825618946,RN
115,ALTO FELIZ,0.4910970706490523,RS
116,ALTO GARÇAS,0.025415198792148968,MT
117,ALTO HORIZONTE,0.7025332330072737,GO
118,ALTO JEQUITIBÁ,0.45517841601392517,MG
119,ALTO LONGÁ,0.3645922484411297,PI
120,ALTO PARAGUAI,0.31283627978478096,MT
121,ALTO PARANÁ,0.15660732378057607,PR
122,ALTO PARAÍSO,0.22939213108121775,PR
123,ALTO PARAÍSO DE GOIÁS,0.5318930041152263,GO
124,ALTO PARNAÍBA,0.5821364452423698,MA
