QT_VOTOS_NOMINAIS,NM_MUNICIPIO,SG_UF
0.09843526283493557,GUAJARÁ-MIRIM,RO
0.1352236965902086,PORTO VELHO,RO
0.0851230723373547,JI-PARANÁ,RO
0.36797145555672156,ARIQUEMES,RO
0.020904219122150392,CACOAL,RO
0.12043895747599451,PIMENTA BUENO,RO
0.021400603087447678,VILHENA,RO
0.48187909791771744,JARU,RO
0.2466202163061564,OURO PRETO DO OESTE,RO
0.11404608117227417,PRESIDENTE MÉDICI,RO
0.5274793710104313,COSTA MARQUES,RO
0.13219424460431656,COLORADO DO OESTE,RO
0.08158465991316932,ESPIGÃO DO OESTE,RO
0.040136729518138715,CEREJEIRAS,RO
0.12894427819235577,ROLIM DE MOURA,RO
0.1568299482277977,ALTA FLORESTA D OESTE,RO
0.12674571805006588,ALVORADA DO OESTE,RO
0.18848526387936942,SANTA LUZIA D OESTE,RO
0.19437420986093554,NOVA BRASILÂNDIA D OESTE,RO
0.29726711338851664,MACHADINHO D OESTE,RO
0.1723076923076923,SÃO MIGUEL DO GUAPORÉ,RO
0.1477464449264883,NOVA MAMORÉ,RO
0.11842105263157894,CABIXI,RO
0.43603318846305805,CANDEIAS DO JAMARI,RO
0.44770073862282583,ITAPUÃ DO OESTE,RO
0.3998800959232614,NOVO HORIZONTE DO OESTE,RO
0.39570695286980867,CASTANHEIRAS,RO
0.32715296413759454,VALE DO PARAÍSO,RO
0.18614788505004842,URUPÁ,RO
0.19749582637729549,MIRANTE DA SERRA,RO
0.36414319248826293,SERINGUEIRAS,RO
0.3779877709838799,THEOBROMA,RO
0.08801498127340825,MINISTRO ANDREAZZA,RO
0.34924774322968904,GOVERNADOR JORGE TEIXEIRA,RO
0.5719424460431655,CACAULÂNDIA,RO
0.3113065326633166,ALTO PARAÍSO,RO
0.33437083148065805,RIO CRESPO,RO
0.10462776659959759,CORUMBIARA,RO
0.4470727380248374,MONTE NEGRO,RO
0.37397420867526376,CAMPO NOVO DE RONDÔNIA,RO
0.304915301305193,CUJUBIM,RO
0.43717689368397394,VALE DO ANARI,RO
0.08319112627986348,PARECIS,RO
0.26986169186233516,SÃO FELIPE D OESTE,RO
0.24721279689772177,PRIMAVERA DE RONDÔNIA,RO
0.2779384249021942,ALTO ALEGRE DOS PARECIS,RO
0.2556935817805383,NOVA UNIÃO,RO
0.19460028050490882,TEIXEIRÓPOLIS,RO
0.32103550910223577,BURITIS,RO
0.1574468085106383,PIMENTEIRAS DO OESTE,RO
0.486166915394329,SÃO FRANCISCO DO GUAPORÉ,RO
0.1609560067681895,CHUPINGUAIA,RO
0.38340092699884126,BUJARI,AC
0.44171566931857487,CAPIXABA,AC
0.3045754371270024,PORTO ACRE,AC
0.449447400736799,SANTA ROSA DO PURUS,AC
0.5768445238703089,MARECHAL THAUMATURGO,AC
0.13000075058170082,BRASILÉIA,AC
0.8828613460831188,PORTO WALTER,AC
0.6095179148614263,CRUZEIRO DO SUL,AC
0.5031685678073511,RODRIGUES ALVES,AC
0.694494314781568,MÂNCIO LIMA,AC
0.2590299277605779,JORDÃO,AC
0.19664108552997442,EPITACIOLÂNDIA,AC
0.30332534451767523,ACRELÂNDIA,AC
0.26707688053097345,FEIJÓ,AC
0.22689941082061657,RIO BRANCO,AC
0.8324696127390936,SENA MADUREIRA,AC
0.17869552833950442,TARAUACÁ,AC
0.4403133274492498,XAPURI,AC
0.31408750139867964,PLÁCIDO DE CASTRO,AC
0.3929341133004926,SENADOR GUIOMARD,AC
0.48421248142644874,MANOEL URBANO,AC
0.31396338867603235,ASSIS BRASIL,AC
0.6047381546134664,APUÍ,AM
0.5526565464895635,NOVO AIRÃO,AM
0.6303617049885707,GUAJARÁ,AM
0.8427512145231398,ANORI,AM
0.5499593826157595,CAREIRO DA VÁRZEA,AM
0.8425957887469796,ATALAIA DO NORTE,AM
0.7710762115810772,AUTAZES,AM
0.7179269328802039,BARCELOS,AM
0.7444686021230337,BARREIRINHA,AM
0.796160820358907,BENJAMIN CONSTANT,AM
0.6019599666388658,BOCA DO ACRE,AM
0.6580546140564046,BORBA,AM
0.7134635771618961,CANUTAMA,AM
0.7872324446113406,CARAUARI,AM
0.5768876328561774,CAREIRO,AM
0.7641924026247667,COARI,AM
0.6118595993618153,CODAJÁS,AM
0.7267763594776064,EIRUNEPÉ,AM
0.8231715942849059,ENVIRA,AM
0.7854785478547854,FONTE BOA,AM
0.6145113524185587,HUMAITÁ,AM
0.744789618560755,SANTA ISABEL DO RIO NEGRO,AM
0.5702133593641054,IPIXUNA,AM
0.46486170627191276,ITACOATIARA,AM
0.6642693690748611,ITAPIRANGA,AM
0.836715579144552,JAPURÁ,AM
0.7142857142857143,JURUÁ,AM
0.7481559536354057,JUTAÍ,AM
0.7349364136169267,LÁBREA,AM
0.6617358268944886,MANACAPURU,AM
0.4236938288042442,MANAUS,AM
0.7072100847493719,MANICORÉ,AM
0.8262248854423687,MARAÃ,AM
0.8058222597741762,MAUÉS,AM
0.642843637738703,NHAMUNDÁ,AM
0.7139998517749945,NOVA OLINDA DO NORTE,AM
0.6947285601888277,NOVO ARIPUANÃ,AM
0.5233150508461343,PARINTINS,AM
0.7989167230873392,PAUINI,AM
0.5754148435565095,SANTO ANTÔNIO DO IÇÁ,AM
0.8607343228463887,SÃO PAULO DE OLIVENÇA,AM
0.605803716987284,SILVES,AM
0.7416267942583732,TAPAUÁ,AM
0.6083205220719732,TEFÉ,AM
0.7437392795883362,SÃO GABRIEL DA CACHOEIRA,AM
0.4507476857346309,URUCARÁ,AM
0.6779078509290087,URUCURITUBA,AM
0.8480096501809409,ALVARÃES,AM
0.78836291913215,AMATURÁ,AM
0.7918486171761281,ANAMÃ,AM
0.7805146690697907,BERURI,AM
0.7518342684505827,BOA VISTA DO RAMOS,AM
0.8077542062911485,CAAPIRANGA,AM
0.414482368470677,CAROEBE,RR
0.28831977345260035,BOA VISTA,RR
0.4490750584733149,IRACEMA,RR
0.3000179597701149,CARACARAÍ,RR
0.3965227145260796,AMAJARI,RR
0.4500056747247759,ALTO ALEGRE,RR
0.3522791221159257,CANTÁ,RR
0.36839548159844526,BONFIM,RR
0.4449508891314117,RORAINÓPOLIS,RR
0.26835902085222124,MUCAJAÍ,RR
0.2132755044314539,UIRAMUTÃ,RR
0.2771924387976449,NORMANDIA,RR
0.3913446676970634,PACARAIMA,RR
0.5280316127438873,SÃO JOÃO DA BALIZA,RR
0.5595387840670859,SÃO LUIZ,RR
0.6010778128286015,GOIANÉSIA DO PARÁ,PA
0.2672644008537017,ABAETETUBA,PA
0.33204884667571233,TAILÂNDIA,PA
0.28884354898126896,ACARÁ,PA
0.3486745213549337,BOM JESUS DO TOCANTINS,PA
0.7087539551001959,AFUÁ,PA
0.28510704072957727,SÃO JOÃO DE PIRABAS,PA
0.39354735665229196,ALENQUER,PA
0.20259629708448607,TUCUMÃ,PA
0.27714699842976204,ALMEIRIM,PA
0.5007118606943379,MÃE DO RIO,PA
0.3976049126507561,ALTAMIRA,PA
0.27291183294663574,ELDORADO DOS CARAJÁS,PA
0.6206594295731913,ANAJÁS,PA
0.38140388438599176,SANTA LUZIA DO PARÁ,PA
0.2715447091010565,ANANINDEUA,PA
0.24428371441903873,PALESTINA DO PARÁ,PA
0.5387007096349403,AUGUSTO CORRÊA,PA
0.624655894673848,IPIXUNA DO PARÁ,PA
0.28191082802547773,AVEIRO,PA
0.601614263341766,JACAREACANGA,PA
0.49091228378259727,BAGRE,PA
0.6916644661561482,BRASIL NOVO,PA
0.566926380980921,BAIÃO,PA
0.4052241161616162,SANTA BÁRBARA DO PARÁ,PA
0.47095542863702894,BARCARENA,PA
0.3954457095251319,ÁGUA AZUL DO NORTE,PA
0.3210104216356686,BELÉM,PA
0.4268903355032549,TRAIRÃO,PA
0.2898534160070863,BENEVIDES,PA
0.6048724781119147,PAU D ARCO,PA
0.5449120603015075,BONITO,PA
0.5731974810726668,ULIANÓPOLIS,PA
0.5619530100562726,BRAGANÇA,PA
0.613016776512882,AURORA DO PARÁ,PA
0.4505749347763069,BREVES,PA
0.46021547889690617,TERRA SANTA,PA
0.42225375428638995,BUJARU,PA
0.6961815895705116,NOVO PROGRESSO,PA
0.25401716927140655,CACHOEIRA DO ARARI,PA
0.7184989043097151,VITÓRIA DO XINGU,PA
0.38328548403344415,CAMETÁ,PA
0.4199536709349463,NOVO REPARTIMENTO,PA
0.47159439558191857,CAPANEMA,PA
0.6538801731762953,BREU BRANCO,PA
0.4660808326322022,CAPITÃO POÇO,PA
0.41407793140599747,SÃO DOMINGOS DO ARAGUAIA,PA
0.5689195218972212,CASTANHAL,PA
0.42778447237045963,NOVA ESPERANÇA DO PIRIÁ,PA
0.6091918248780994,CHAVES,PA
0.5189746167378738,ABEL FIGUEIREDO,PA
0.2802077322562031,COLARES,PA
0.3161365399534523,CUMARU DO NORTE,PA
0.21770506499327655,CONCEIÇÃO DO ARAGUAIA,PA
0.5749440715883669,TERRA ALTA,PA
0.45149822244794313,CURRALINHO,PA
0.6771905964639596,FLORESTA DO ARAGUAIA,PA
0.625585716593957,CURUÇÁ,PA
0.10831353919239906,BANNACH,PA
0.6471933471933472,FARO,PA
0.37218237704918034,NOVA IPIXUNA,PA
0.6194638352789347,GURUPÁ,PA
0.45502861815208506,PLACAS,PA
0.4660551252650253,IGARAPÉ-AÇU,PA
0.3884629543672071,MARITUBA,PA
0.36132013534669966,IGARAPÉ-MIRI,PA
0.5340976691363366,TRACUATEUA,PA
0.6433595366156393,INHANGAPI,PA
0.3051966292134832,QUATIPURU,PA
0.49279495646952864,IRITUIA,PA
0.32218385843763486,CANAÃ DOS CARAJÁS,PA
0.32902723171416665,ITAITUBA,PA
0.514922455362961,ANAPU,PA
0.3381104033970276,ITUPIRANGA,PA
0.4740960284528749,CURUÁ,PA
0.4968474693384004,JACUNDÁ,PA
0.5795664430835035,CACHOEIRA DO PIRIÁ,PA
0.43477472248421967,JURUTI,PA
0.06667620546573186,PIÇARRA,PA
0.29559892405425514,LIMOEIRO DO AJURU,PA
0.5614612188365651,BELTERRA,PA
0.4445307644499689,MAGALHÃES BARATA,PA
0.21493115318416522,SÃO JOÃO DA PONTA,PA
0.3454447231333205,MARABÁ,PA
0.8070028011204482,SAPUCAIA,PA
0.5512917359117692,MARACANÃ,PA
0.6100079957356077,MOJUÍ DOS CAMPOS,PA
0.5936015029285003,MARAPANIM,PA
0.6476026836851579,MELGAÇO,PA
0.3686649290472053,MOCAJUBA,PA
0.3076354444868371,MOJU,PA
0.5081396290596906,MONTE ALEGRE,PA
0.40058437514968626,MUANÁ,PA
0.603336422613531,NOVA TIMBOTEUA,PA
0.5338819320214669,ÓBIDOS,PA
0.4297502714440825,OEIRAS DO PARÁ,PA
0.5636679201619902,ORIXIMINÁ,PA
0.5580279593018447,OURÉM,PA
0.4413340012330456,PARAGOMINAS,PA
0.46668627739373436,PEIXE-BOI,PA
0.3931618759455371,PONTA DE PEDRAS,PA
0.43435290441032853,PORTEL,PA
0.811032582654528,PORTO DE MOZ,PA
0.5151122401368655,PRAINHA,PA
0.6327669287344662,PRIMAVERA,PA
0.32119065039085065,SALINÓPOLIS,PA
0.3731904231625835,SALVATERRA,PA
0.21945752073526115,SANTA CRUZ DO ARARI,PA
0.42452882177890444,SANTA ISABEL DO PARÁ,PA
0.6594149002107351,SANTA MARIA DO PARÁ,PA
0.43742017879948913,SANTANA DO ARAGUAIA,PA
0.5154259997487064,SANTARÉM,PA
