,CodMun,UF,Municípios,Pessoal ocupado,Pop,Mreh0116,Empregado_mun,percent_empregado_mun
0,1100015.0,RO,Alta Floresta D'Oeste ,3706,22516.0,1352,1352.0,0.36481381543443064
1,1100023.0,RO,Ariquemes ,24810,111148.0,2774,2774.0,0.11180975413139863
2,1100031.0,RO,Cabixi ,805,5067.0,336,336.0,0.41739130434782606
3,1100049.0,RO,Cacoal ,23243,86416.0,2036,2036.0,0.08759626554231381
4,1100056.0,RO,Cerejeiras ,3556,16088.0,635,635.0,0.17857142857142858
5,1100064.0,RO,Colorado do Oeste ,3405,15213.0,586,586.0,0.17209985315712187
6,1100072.0,RO,Corumbiara ,1247,7052.0,395,395.0,0.31676022453889335
7,1100080.0,RO,Costa Marques ,1342,19255.0,556,556.0,0.4143070044709389
8,1100098.0,RO,Espigão D'Oeste ,6258,33009.0,903,903.0,0.14429530201342283
9,1100106.0,RO,Guajará,6348,46930.0,834,834.0,0.13137996219281664
10,1100114.0,RO,Jaru ,12999,51469.0,1686,1686.0,0.12970228479113777
11,1100122.0,RO,Ji,37413,131026.0,3123,3123.0,0.0834736588886216
12,1100130.0,RO,Machadinho D'Oeste ,4156,41724.0,1022,1022.0,0.24590952839268526
13,1100148.0,RO,Nova Brasilândia D'Oeste ,2458,20504.0,689,689.0,0.2803091944670464
14,1100155.0,RO,Ouro Preto do Oeste ,7591,35445.0,1319,1319.0,0.17375839810301674
15,1100189.0,RO,Pimenta Bueno ,11646,37098.0,1239,1239.0,0.10638845955692942
16,1100205.0,RO,Porto Velho ,187551,548952.0,13871,13871.0,0.0739585499410827
17,1100254.0,RO,Presidente Médici ,3651,18165.0,808,808.0,0.2213092303478499
18,1100262.0,RO,Rio Crespo ,575,3843.0,307,307.0,0.5339130434782609
19,1100288.0,RO,Rolim de Moura ,14645,55748.0,1602,1602.0,0.10938886992147491
20,1100296.0,RO,Santa Luzia D'Oeste ,922,5942.0,359,359.0,0.3893709327548807
21,1100304.0,RO,Vilhena ,32084,104517.0,3065,3065.0,0.09553048248348087
22,1100320.0,RO,São Miguel do Guaporé ,4218,23147.0,963,963.0,0.2283072546230441
23,1100338.0,RO,Nova Mamoré ,2702,32184.0,1100,1100.0,0.4071058475203553
24,1100346.0,RO,Alvorada D'Oeste ,1762,13807.0,616,616.0,0.3496027241770715
25,1100379.0,RO,Alto Alegre dos Parecis ,1297,13268.0,589,589.0,0.45412490362374713
26,1100403.0,RO,Alto Paraíso ,1964,22258.0,645,645.0,0.3284114052953157
27,1100452.0,RO,Buritis ,4643,41043.0,1123,1123.0,0.24186948093904803
28,1100502.0,RO,Novo Horizonte do Oeste ,1193,8125.0,416,416.0,0.34870075440067055
29,1100601.0,RO,Cacaulândia ,627,6307.0,323,323.0,0.5151515151515151
30,1100700.0,RO,Campo Novo de Rondônia ,986,14391.0,581,581.0,0.5892494929006086
31,1100809.0,RO,Candeias do Jamari ,3196,28068.0,1012,1012.0,0.3166458072590738
32,1100908.0,RO,Castanheiras ,460,2923.0,259,259.0,0.5630434782608695
33,1100924.0,RO,Chupinguaia ,2828,11755.0,640,640.0,0.2263083451202263
34,1100940.0,RO,Cujubim ,2147,27131.0,514,514.0,0.2394038192827201
35,1101005.0,RO,Governador Jorge Teixeira ,939,7130.0,461,461.0,0.4909478168264111
36,1101104.0,RO,Itapuã do Oeste ,1640,10819.0,484,484.0,0.2951219512195122
37,1101203.0,RO,Ministro Andreazza ,1145,9461.0,356,356.0,0.3109170305676856
38,1101302.0,RO,Mirante da Serra ,1687,10691.0,456,456.0,0.2703023117960877
39,1101401.0,RO,Monte Negro ,1719,16158.0,628,628.0,0.36532867946480513
40,1101435.0,RO,Nova União ,973,6822.0,314,314.0,0.3227132579650565
41,1101450.0,RO,Parecis ,662,6319.0,245,245.0,0.37009063444108764
42,1101468.0,RO,Pimenteiras do Oeste ,224,2127.0,240,240.0,1.0714285714285714
43,1101476.0,RO,Primavera de Rondônia ,487,2697.0,266,266.0,0.5462012320328542
44,1101484.0,RO,São Felipe D'Oeste ,753,4962.0,317,317.0,0.4209827357237716
45,1101492.0,RO,São Francisco do Guaporé ,2185,21088.0,604,604.0,0.2764302059496567
46,1101500.0,RO,Seringueiras ,1553,11846.0,631,631.0,0.4063103670315518
47,1101559.0,RO,Teixeirópolis ,546,4160.0,254,254.0,0.4652014652014652
48,1101609.0,RO,Theobroma ,904,10348.0,556,556.0,0.6150442477876106
49,1101708.0,RO,Urupá ,1836,11081.0,415,415.0,0.22603485838779958
50,1101757.0,RO,Vale do Anari ,886,11545.0,406,406.0,0.4582392776523702
51,1101807.0,RO,Vale do Paraíso ,824,6490.0,530,530.0,0.6432038834951457
52,1200013.0,AC,Acrelândia ,1133,15721.0,378,378.0,0.33362753751103263
53,1200054.0,AC,Assis Brasil ,621,7649.0,397,397.0,0.6392914653784219
54,1200104.0,AC,Brasiléia ,3439,27123.0,984,984.0,0.2861296888630416
55,1200138.0,AC,Bujari ,2074,10572.0,392,392.0,0.18900675024108005
56,1200179.0,AC,Capixaba ,795,12280.0,426,426.0,0.5358490566037736
57,1200203.0,AC,Cruzeiro do Sul ,15206,89760.0,3885,3885.0,0.2554912534525845
58,1200252.0,AC,Epitaciolândia ,2579,18979.0,710,710.0,0.2753005040713455
59,1200302.0,AC,Feijó ,2938,34986.0,1140,1140.0,0.3880190605854323
60,1200328.0,AC,Jordão ,751,8628.0,444,444.0,0.5912117177097204
61,1200336.0,AC,Mâncio Lima ,1105,19643.0,689,689.0,0.6235294117647059
62,1200344.0,AC,Manoel Urbano ,678,9701.0,300,300.0,0.4424778761061947
63,1200351.0,AC,Marechal Thaumaturgo ,1088,19727.0,989,989.0,0.9090073529411765
64,1200385.0,AC,Plácido de Castro ,2587,20147.0,621,621.0,0.240046385775029
65,1200393.0,AC,Porto Walter ,1224,12497.0,904,904.0,0.738562091503268
66,1200401.0,AC,Rio Branco ,123357,419452.0,6139,6139.0,0.049766125959613154
67,1200427.0,AC,Rodrigues Alves ,1279,19767.0,866,866.0,0.6770914777169664
68,1200435.0,AC,Santa Rosa do Purus ,674,6893.0,474,474.0,0.7032640949554896
69,1200450.0,AC,Senador Guiomard ,2978,23446.0,807,807.0,0.27098723975822697
70,1200500.0,AC,Sena Madureira ,5090,47168.0,1731,1731.0,0.34007858546168956
71,1200609.0,AC,Tarauacá ,2906,43730.0,1302,1302.0,0.44803854094975915
72,1200708.0,AC,Xapuri ,1258,19866.0,473,473.0,0.37599364069952307
73,1200807.0,AC,Porto Acre ,1305,19141.0,736,736.0,0.563984674329502
74,1300029.0,AM,Alvarães ,1533,16396.0,1219,1219.0,0.7951728636660144
75,1300060.0,AM,Amaturá ,963,11934.0,620,620.0,0.6438213914849429
76,1300086.0,AM,Anamã ,569,14292.0,546,546.0,0.9595782073813708
77,1300102.0,AM,Anori ,1188,21937.0,800,800.0,0.6734006734006734
78,1300144.0,AM,Apuí ,1535,22739.0,686,686.0,0.4469055374592834
79,1300201.0,AM,Atalaia do Norte ,1659,20868.0,1527,1527.0,0.9204339963833634
80,1300300.0,AM,Autazes ,3453,41005.0,2157,2157.0,0.6246741963509991
81,1300409.0,AM,Barcelos ,1316,27772.0,1414,1414.0,1.074468085106383
82,1300508.0,AM,Barreirinha ,2328,32919.0,2137,2137.0,0.9179553264604811
83,1300607.0,AM,Benjamin Constant ,2988,44873.0,2233,2233.0,0.7473226238286479
84,1300631.0,AM,Beruri ,1647,20503.0,1320,1320.0,0.8014571948998178
85,1300680.0,AM,Boa Vista do Ramos ,2003,20040.0,1502,1502.0,0.7498751872191712
86,1300706.0,AM,Boca do Acre ,3685,34958.0,2070,2070.0,0.5617367706919946
87,1300805.0,AM,Borba ,3275,42328.0,2500,2500.0,0.7633587786259542
88,1300839.0,AM,Caapiranga ,1271,13482.0,1497,1497.0,1.177812745869394
89,1300904.0,AM,Canutama ,1013,15981.0,1060,1060.0,1.0463968410661402
90,1301001.0,AM,Carauari ,2054,28719.0,1411,1411.0,0.686952288218111
91,1301100.0,AM,Careiro ,1726,38820.0,1790,1790.0,1.037079953650058
92,1301159.0,AM,Careiro da Várzea ,1426,31459.0,1112,1112.0,0.7798036465638148
93,1301209.0,AM,Coari ,9675,86713.0,6468,6468.0,0.6685271317829458
94,1301308.0,AM,Codajás ,1625,29691.0,1155,1155.0,0.7107692307692308
95,1301407.0,AM,Eirunepé ,2084,36121.0,2280,2280.0,1.0940499040307101
96,1301506.0,AM,Envira ,1703,20748.0,2073,2073.0,1.2172636523781561
97,1301605.0,AM,Fonte Boa ,2564,16409.0,2456,2456.0,0.9578783151326054
98,1301654.0,AM,Guajará ,846,17193.0,1152,1152.0,1.3617021276595744
99,1301704.0,AM,Humaitá ,5156,57195.0,1919,1919.0,0.3721877424359969
100,1301803.0,AM,Ipixuna ,171,31172.0,1583,1583.0,9.257309941520468
101,1301852.0,AM,Iranduba ,6914,49718.0,2757,2757.0,0.398756146948221
102,1301902.0,AM,Itacoatiara ,13560,104046.0,5116,5116.0,0.37728613569321534
103,1301951.0,AM,Itamarati ,1196,7777.0,1174,1174.0,0.9816053511705686
104,1302009.0,AM,Itapiranga ,844,9312.0,698,698.0,0.8270142180094787
105,1302108.0,AM,Japurá ,1324,1755.0,1101,1101.0,0.831570996978852
106,1302207.0,AM,Juruá ,957,15495.0,1269,1269.0,1.3260188087774294
107,1302306.0,AM,Jutaí ,976,13462.0,3209,3209.0,3.2879098360655736
108,1302405.0,AM,Lábrea ,2573,47685.0,1395,1395.0,0.5421686746987951
109,1302504.0,AM,Manacapuru ,11308,99613.0,4702,4702.0,0.41581181464449946
110,1302553.0,AM,Manaquiri ,1437,33981.0,1072,1072.0,0.7459986082115518
111,1302603.0,AM,Manaus ,636830,2255903.0,34326,34326.0,0.05390135514972599
112,1302702.0,AM,Manicoré ,3835,57405.0,1512,1512.0,0.3942633637548892
113,1302801.0,AM,Maraã ,1034,18298.0,1870,1870.0,1.8085106382978724
114,1302900.0,AM,Maués ,4462,66159.0,1999,1999.0,0.448005378753922
115,1303007.0,AM,Nhamundá ,740,21710.0,1279,1279.0,1.7283783783783784
116,1303106.0,AM,Nova Olinda do Norte ,1975,38665.0,2104,2104.0,1.0653164556962025
117,1303205.0,AM,Novo Airão ,2104,20395.0,1301,1301.0,0.6183460076045627
118,1303304.0,AM,Novo Aripuanã ,1385,26443.0,1035,1035.0,0.7472924187725631
119,1303403.0,AM,Parintins ,9494,116439.0,4866,4866.0,0.5125342321466189
120,1303502.0,AM,Pauini ,1319,19616.0,1252,1252.0,0.9492039423805914
121,1303536.0,AM,Presidente Figueiredo ,5904,38095.0,2646,2646.0,0.4481707317073171
122,1303569.0,AM,Rio Preto da Eva ,2790,34856.0,1119,1119.0,0.4010752688172043
123,1303601.0,AM,Santa Isabel do Rio Negro ,1358,26566.0,1258,1258.0,0.9263622974963182
124,1303700.0,AM,Santo Antônio do Içá ,1800,20889.0,2220,2220.0,1.2333333333333334
125,1303809.0,AM,São Gabriel da Cachoeira ,983,47031.0,2051,2051.0,2.08646998982706
126,1303908.0,AM,São Paulo de Olivença ,2344,40837.0,2123,2123.0,0.9057167235494881
127,1303957.0,AM,São Sebastião do Uatumã ,820,14678.0,583,583.0,0.7109756097560975
128,1304005.0,AM,Silves ,1063,9289.0,633,633.0,0.5954844778927564
129,1304062.0,AM,Tabatinga ,6472,68502.0,3891,3891.0,0.6012051915945612
130,1304104.0,AM,Tapauá ,2148,16876.0,2119,2119.0,0.9864990689013036
131,1304203.0,AM,Tefé ,3423,59250.0,6288,6288.0,1.8369851007887819
132,1304237.0,AM,Tonantins ,1431,19038.0,1747,1747.0,1.2208245981830887
133,1304260.0,AM,Uarini ,333,13839.0,1644,1644.0,4.936936936936937
134,1304302.0,AM,Urucará ,1246,16007.0,1114,1114.0,0.8940609951845907
135,1304401.0,AM,Urucurituba ,1969,24098.0,1618,1618.0,0.8217369222955815
136,1400027.0,RR,Amajari ,821,13561.0,283,283.0,0.3447015834348356
137,1400050.0,RR,Alto Alegre ,1112,15249.0,838,838.0,0.7535971223021583
138,1400100.0,RR,Boa Vista ,121316,436591.0,10263,10263.0,0.08459725015661577
139,1400159.0,RR,Bonfim ,1168,12701.0,780,780.0,0.6678082191780822
140,1400175.0,RR,Cantá ,1664,19257.0,760,760.0,0.4567307692307692
141,1400209.0,RR,Caracaraí ,1779,22635.0,1125,1125.0,0.6323777403035413
142,1400233.0,RR,Caroebe ,932,10595.0,553,553.0,0.5933476394849786
143,1400282.0,RR,Iracema ,989,12637.0,689,689.0,0.6966632962588474
144,1400308.0,RR,Mucajaí ,1444,18482.0,396,396.0,0.2742382271468144
145,1400407.0,RR,Normandia ,1093,11772.0,513,513.0,0.4693504117108875
146,1400456.0,RR,Pacaraima ,934,20108.0,878,878.0,0.9400428265524625
147,1400472.0,RR,Rorainópolis ,3429,31387.0,1640,1640.0,0.4782735491396909
148,1400506.0,RR,São João da Baliza ,1565,8492.0,489,489.0,0.3124600638977636
149,1400605.0,RR,São Luiz ,601,8232.0,616,616.0,1.0249584026622296
150,1400704.0,RR,Uiramutã ,377,11014.0,584,584.0,1.5490716180371353
151,1500107.0,PA,Abaetetuba ,16287,160439.0,6196,6196.0,0.3804261067108737
152,1500131.0,PA,Abel Figueiredo ,786,7536.0,336,336.0,0.42748091603053434
153,1500206.0,PA,Acará ,6696,55744.0,3040,3040.0,0.4540023894862604
154,1500305.0,PA,Afuá ,2774,39910.0,1908,1908.0,0.6878154289834174
155,1500347.0,PA,Água Azul do Norte ,2958,27797.0,1038,1038.0,0.3509127789046653
156,1500404.0,PA,Alenquer ,3808,57390.0,2136,2136.0,0.5609243697478992
