deputado_nome,101666-71,104342-141,104342-99,112893-218,112893-225,114145-58,129219-194,14271-84,14641-68,153275-100,15471-155,18454-92,21400-240,21571-106,21571-116,21571-127,21571-130,21571-133,21571-139,21571-141,21571-143,21571-148,21571-151,21571-154,21571-156,256022-206,264293-105,264293-117,264293-69,264293-78,264293-88,270010-197,284827-198,290450-52,290450-54,293027-111,307814-70,307814-85,307925-175,313951-141,313951-147,313951-152,313951-187,313951-205,313951-237,313951-248,313951-268,327896-22,330427-122,330427-143,330427-242,330427-309,330427-311,330427-313,330427-318,332542-64,335178-67,335937-47,335937-79,338066-34,339302-57,339409-144,339551-46,339551-65,339551-83,339552-29,339630-35,339689-104,339689-114,339689-186,339689-196,339689-67,339689-82,339689-88,339696-112,339696-121,339696-91,339705-102,339705-120,339705-147,339705-95,339823-36,339823-56,339823-84,339846-80,339847-104,339847-110,339847-121,339847-86,339848-105,339850-113,339850-186,339850-92,339851-114,339853-79,339854-37,339977-66,340034-159,340369-4,344056-55,344468-77,345069-114,345069-119,345069-121,345070-79,345552-78,345552-88,345552-93,346697-65,346782-62,346913-109,347030-10,347832-48,348693-57,348711-50,349771-61,350108-117,350464-54,350464-60,350464-72,350489-4,350507-7,350571-30,350808-76,352580-39,352776-50,353093-92,353741-128,353741-160,353741-192,353741-54,353741-67,353776-4,354034-47,355920-104,355920-40,356032-50,356695-67,356805-49,358878-110,361442-144,363391-101,363391-44,363391-64,363391-81,363568-127,364186-139,364186-74,364186-86,364579-61,365555-120,366816-167,368083-56,368083-72,368084-49,368170-49,368679-64,368679-81,369841-45,370193-6,371091-7,371547-84,371789-105,371789-147,371789-93,372150-100,373907-63,374302-82,377706-66,377965-69,377965-86,378478-161,378478-172,378478-213,378478-223,378478-232,378478-242,378478-308,378478-317,380508-55,382081-100,382081-106,382081-60,382081-77,382665-65,382667-61,382680-56,382680-63,382681-107,382688-119,382688-99,382708-110,382708-93,382725-97,383657-93,384554-74,384772-5,388308-65,391163-36,391163-52,391163-64,391163-75,391163-86,392908-35,392908-60,392908-82,394079-102,394079-127,394079-140,394079-150,394079-156,394079-192,394079-195,394079-55,394079-73,394079-80,394100-47,394104-98,394947-104,394947-110,394947-54,394947-81,396987-124,396987-131,396987-72,396987-95,397936-51,398628-60,402373-55,402378-65,402378-77,402378-97,403395-126,403395-164,403395-85,403395-93,403508-104,403508-95,403997-6,406183-14,408452-117,412236-104,413095-63,413095-70,415049-31,415049-45,415049-51,415049-66,416057-86,416057-90,416057-93,416531-9,419290-65,419290-71,419290-80,420066-66,420746-108,420746-123,420746-129,420746-62,420746-81,421658-5,421658-7,422455-79,422455-92,422643-94,422683-100,422683-129,422684-88,423427-100,423427-110,423427-147,423427-82,423428-126,423428-129,423428-137,423428-142,423428-91,423580-6,423585-62,428043-85,428250-112,428250-125,428250-162,428250-189,428250-200,428250-71,428250-93,429836-64,430472-108,430472-85,431536-5,434563-110,434563-185,434563-74,434563-87,434938-122,434938-133,436198-9,437378-16,438197-76,438409-126,438409-137,438409-157,438409-164,438409-203,438942-12,439736-22,440177-118,440177-163,440177-43,440177-53,440177-65,440269-157,440269-72,440269-73,440269-76,440269-79,440269-88,440269-92,440269-94,440274-5,440517-13,441341-10,441673-111,441673-92,443158-105,443158-140,443158-147,443158-158,443158-205,443158-92,443247-5,445427-89,446738-5,447734-66,447935-106,447935-121,447935-142,447935-79,447935-83,447936-162,447937-133,447937-136,453801-40,453801-55,453801-69,453801-81,453801-89,454360-6,454911-100,454911-118,454911-132,454911-145,454911-32,454911-55,454911-70,454911-86,458747-7,458748-9,458749-9,463287-47,463451-54,463451-87,464520-129,464520-147,464520-164,465329-108,465329-74,465329-98,465331-92,465333-71,465356-63,465356-77,466304-84,466305-106,466305-84,467514-6,469773-6,469774-6,469956-4,471208-8,471270-100,471270-135,471270-95,474361-64,474361-85,475370-16,482426-31,482426-43,483907-53,483907-59,483948-50,485201-93,485262-48,486701-6,488165-8,488578-7,489010-5,489682-5
Abelardo Camarinha,1.0,,,,,,1.0,,,1.0,1.0,,,0.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,,,1.0,,0.0,,,1.0,,1.0,,0.0,,1.0,1.0,,,,1.0,1.0,,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,0.0,1.0,,1.0,1.0,,,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,1.0,,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,,1.0,,0.0,0.0,,,,,,,,,,1.0,1.0,0.0,,,,,1.0,,,,,1.0,,,0.0,1.0,,,,,,,0.0,1.0,,,,,,,1.0,0.0,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,1.0,,,,,,1.0,,,0.0,,,0.0,,1.0,,,1.0,,,0.0,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,0.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,0.0,,,,1.0,1.0,1.0,,0.0,,1.0,,,0.0,1.0,0.0,,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,0.0,,,,,,0.0,0.0,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,0.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,0.0,,0.0,1.0,1.0,1.0,,0.0,,,,,1.0,1.0
Abelardo Lupion,1.0,,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,,,1.0,,1.0,0.0,1.0,1.0,,1.0,,,,,,0.0,1.0,,1.0,,,,,,,,,1.0,,,0.0,,1.0,,,,,0.0,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,0.0,1.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,1.0,,0.0,0.0,,,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,,0.0,,,0.0,1.0,,,,,,,0.0,,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,,,,,,,,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,1.0,0.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,0.0,0.0,1.0,,,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,,,1.0,1.0,,0.0,0.0,0.0,1.0,,,1.0,,1.0,1.0,1.0,,0.0,,0.0,0.0,1.0,,,,,,,,1.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,,1.0,,1.0,,,,0.0,1.0,1.0,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,1.0,1.0,,,,0.0,,,,,,,1.0,1.0,0.0,1.0,,,1.0,,0.0,
Acélio Casagrande,,,,0.0,1.0,1.0,,1.0,,,0.0,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,0.0,1.0,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,1.0,,,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,1.0,,1.0,,,0.0,1.0,,,,0.0,0.0,,0.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,0.0,,,,0.0,,0.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,1.0,,0.0,0.0,,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,0.0,,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Ademir Camilo,1.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,,,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,1.0,0.0,,,1.0,,1.0,0.0,,,,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,,,1.0,0.0,0.0,,,1.0,0.0,0.0,,1.0,,0.0,,1.0,1.0,,0.0,,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,0.0,,0.0,1.0,1.0,0.0,,0.0,,,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,0.0,1.0,,1.0,,,1.0,1.0,1.0,,,0.0,,1.0,0.0,,,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0.0,,,,,,1.0,1.0,,1.0,1.0,,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,,,,,1.0,0.0,1.0,,,1.0,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0
Adão Pretto,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,0.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,,0.0,1.0,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.0,,1.0,0.0,,0.0,0.0,,,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,,,1.0,0.0,,,,,0.0,,,,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,,1.0,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aelton Freitas,1.0,,0.0,,1.0,,1.0,1.0,1.0,1.0,0.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,,1.0,,0.0,,1.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,,0.0,,1.0,1.0,0.0,1.0,,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,,,1.0,,1.0,0.0,,0.0,,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,,1.0,,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,0.0,,,1.0,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,,1.0,,1.0,1.0,0.0,0.0,,,,1.0,,0.0,,,0.0,,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,1.0,0.0,,0.0,1.0,1.0,0.0,1.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,1.0,,,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,0.0,0.0,,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,0.0,,1.0,,,1.0,,,,,1.0,1.0,1.0
Affonso Camargo,,0.0,1.0,1.0,1.0,,1.0,1.0,,,0.0,0.0,1.0,,,,,,,,,,,,,0.0,,,,,,1.0,,1.0,0.0,,,,1.0,,,,,,0.0,,,1.0,,,,,,,,1.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,,0.0,1.0,0.0,,,1.0,0.0,0.0,1.0,,,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,0.0,0.0,,1.0,1.0,,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,,0.0,1.0,,0.0,0.0,1.0,1.0,,,,,0.0,,,,,,,,,,,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,,,1.0,0.0,,1.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,,,,,,,,1.0,0.0,,,0.0,,,,,,,,,,,,0.0,1.0,,1.0,,,,,,0.0,,,,,1.0,1.0,,,0.0,0.0,,,,,,1.0,0.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,,1.0,,1.0,1.0,,0.0,0.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Afonso Hamm,,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,,0.0,0.0,,,1.0,1.0,0.0,1.0,1.0,,,,,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,,,1.0,1.0,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0,,0.0,,,1.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,0.0,,,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,,,0.0,,0.0,,,1.0,,1.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,,,1.0,0.0,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,,0.0,1.0,1.0,0.0,,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,1.0,0.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,0.0,0.0,1.0,,0.0,,1.0,1.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,,0.0,,,0.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,,,,,0.0,,,,0.0,0.0,,,0.0,,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,,0.0,,1.0,,1.0,,1.0,1.0,,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,1.0,,,1.0,,0.0,,1.0,,1.0,
Agnaldo Muniz,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,0.0,1.0,,,,
Airton Roveda,,1.0,,0.0,1.0,,1.0,1.0,1.0,,0.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,0.0,0.0,,1.0,1.0,,0.0,,1.0,,0.0,1.0,,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,0.0,,,,0.0,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,,0.0,1.0,1.0,,,1.0,,,,,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,,,1.0,,0.0,,1.0,,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,,0.0,,,,1.0,0.0,,0.0,,1.0,,,,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,,0.0,0.0,,0.0,0.0,1.0,1.0,,1.0,,1.0,0.0,0.0,,,,,,1.0,,,0.0,,,,0.0,0.0,,0.0,1.0,,0.0,1.0,1.0,,,0.0,,1.0,,1.0,1.0,,0.0,0.0,1.0,1.0,,,0.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,1.0,,1.0,,,,0.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,0.0,0.0,0.0,0.0,,,,,1.0,,,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
