,regiao,ibge,municipio,pib_per_capita,uf,vab,Impostos,populacao,taxa_analfabetismo,percentage_votos_centrao
0,Norte,1100015,Alta Floresta D'Oeste,32619.88,RO,"Administração, defesa, educação e saúde públicas e seguridade social",49596.402,22516.00327775577,8.409999999999997,
1,Norte,1100023,Ariquemes,28878.27,RO,Demais serviços,420195.36,111147.98085203857,5.920000000000002,0.7468972649965525
2,Norte,1100031,Cabixi,47051.83,RO,"Agricultura, inclusive apoio à agricultura e a pós colheita",11192.685,5067.000114554524,10.180000000000007,0.3684941013185288
3,Norte,1100049,Cacoal,32313.26,RO,Demais serviços,384606.648,86416.00262554754,6.290000000000006,0.12541971163341892
4,Norte,1100056,Cerejeiras,46185.81,RO,Comércio e reparação de veículos automotores e motocicletas,131903.932,16088.0014012962,7.849999999999994,0.2593684210526316
5,Norte,1100064,Colorado do Oeste,27923.92,RO,"Administração, defesa, educação e saúde públicas e seguridade social",33010.713,15213.000323736782,9.530000000000001,0.4091344618332801
6,Norte,1100072,Corumbiara,56257.46,RO,"Agricultura, inclusive apoio à agricultura e a pós colheita",16070.461,7052.000108074556,8.480000000000004,0.43205574912891986
7,Norte,1100080,Costa Marques,16446.15,RO,"Administração, defesa, educação e saúde públicas e seguridade social",11756.339,19254.995606874556,7.079999999999998,0.7670607200429876
8,Norte,1100098,Espigão D'Oeste,23429.38,RO,"Administração, defesa, educação e saúde públicas e seguridade social",77582.867,33009.004378263526,7.989999999999995,
9,Norte,1100106,Guajará-Mirim,22462.79,RO,"Administração, defesa, educação e saúde públicas e seguridade social",180690.724,46929.9916884768,5.840000000000003,0.28889750048440227
10,Norte,1100114,Jaru,34294.21,RO,Demais serviços,238102.138,51469.0027558588,7.609999999999999,0.8034001743679163
11,Norte,1100122,Ji-Paraná,32292.16,RO,Demais serviços,719631.618,131026.01789412662,5.6299999999999955,0.14014030654653056
12,Norte,1100130,Machadinho D'Oeste,21338.33,RO,"Administração, defesa, educação e saúde públicas e seguridade social",52915.767,41723.995973443096,8.349999999999994,
13,Norte,1100148,Nova Brasilândia D'Oeste,26762.31,RO,"Administração, defesa, educação e saúde públicas e seguridade social",38741.854,20503.99879532073,8.64,
14,Norte,1100155,Ouro Preto do Oeste,27814.02,RO,"Administração, defesa, educação e saúde públicas e seguridade social",96925.506,35444.995149927985,7.189999999999998,0.575880149812734
15,Norte,1100189,Pimenta Bueno,44275.07,RO,Demais serviços,305833.083,37097.99851248118,6.760000000000005,0.43378457916421426
16,Norte,1100205,Porto Velho,36541.49,RO,Demais serviços,2851397.662,548951.9408212418,4.359999999999999,0.23678296751196265
17,Norte,1100254,Presidente Médici,30827.94,RO,"Pecuária, inclusive apoio à pecuária",51481.698,18164.99983456566,7.6200000000000045,0.07275426874536006
18,Norte,1100262,Rio Crespo,47991.2,RO,"Agricultura, inclusive apoio à agricultura e a pós colheita",6197.629,3842.999737451866,7.829999999999998,0.4578177727784027
19,Norte,1100288,Rolim de Moura,28076.24,RO,"Administração, defesa, educação e saúde públicas e seguridade social",180999.77,55747.99111277008,6.5,0.17845030002608922
20,Norte,1100296,Santa Luzia D'Oeste,35940.09,RO,"Pecuária, inclusive apoio à pecuária",8703.091,5941.999672232318,9.549999999999997,
21,Norte,1100304,Vilhena,40328.81,RO,Comércio e reparação de veículos automotores e motocicletas,681825.82,104516.98825231889,4.75,0.1729478575116159
22,Norte,1100320,São Miguel do Guaporé,39112.42,RO,"Agricultura, inclusive apoio à agricultura e a pós colheita",65761.708,23147.002282139536,7.319999999999993,0.40604408089070665
23,Norte,1100338,Nova Mamoré,23076.28,RO,"Pecuária, inclusive apoio à pecuária",32970.961,32184.002794211203,9.310000000000002,0.372051624388073
24,Norte,1100346,Alvorada D'Oeste,25539.82,RO,"Pecuária, inclusive apoio à pecuária",15991.25,13807.002007061914,11.469999999999999,
25,Norte,1100379,Alto Alegre dos Parecis,36454.01,RO,"Agricultura, inclusive apoio à agricultura e a pós colheita",20512.838,13268.000968892038,9.209999999999994,0.575051975051975
26,Norte,1100403,Alto Paraíso,22929.34,RO,"Administração, defesa, educação e saúde públicas e seguridade social",32334.7,22258.002061986957,8.269999999999996,0.45197947214076245
27,Norte,1100452,Buritis,23549.74,RO,"Administração, defesa, educação e saúde públicas e seguridade social",73300.971,41043.00438136472,7.540000000000006,0.6503025302530253
28,Norte,1100502,Novo Horizonte do Oeste,28492.53,RO,"Pecuária, inclusive apoio à pecuária",11121.271,8124.999324384321,9.969999999999999,0.5150291610587707
29,Norte,1100601,Cacaulândia,43655.88,RO,"Pecuária, inclusive apoio à pecuária",7656.03,6307.000133773504,11.920000000000002,0.8153364632237872
30,Norte,1100700,Campo Novo de Rondônia,25667.21,RO,"Pecuária, inclusive apoio à pecuária",10992.458,14391.000891799305,9.540000000000006,0.6496551724137931
31,Norte,1100809,Candeias do Jamari,23357.78,RO,"Administração, defesa, educação e saúde públicas e seguridade social",37085.785,28068.003123584516,8.129999999999995,0.28486646884273
32,Norte,1100908,Castanheiras,34083.75,RO,"Pecuária, inclusive apoio à pecuária",3219.879,2923.000198041589,10.189999999999998,0.6319587628865979
33,Norte,1100924,Chupinguaia,39880.28,RO,"Pecuária, inclusive apoio à pecuária",26739.966,11754.999037118096,7.359999999999999,0.4321353065539112
34,Norte,1100940,Cujubim,17967.64,RO,"Administração, defesa, educação e saúde públicas e seguridade social",26537.492,27131.007132823233,7.659999999999997,0.5100806451612904
35,Norte,1101005,Governador Jorge Teixeira,33566.66,RO,"Pecuária, inclusive apoio à pecuária",7567.245,7129.999559086306,10.790000000000006,0.7280163599182005
36,Norte,1101104,Itapuã do Oeste,19413.13,RO,"Administração, defesa, educação e saúde públicas e seguridade social",10893.545,10818.998378932196,9.689999999999998,0.39593114241001565
37,Norte,1101203,Ministro Andreazza,31484.85,RO,"Agricultura, inclusive apoio à agricultura e a pós colheita",21614.768,9461.00022709335,11.010000000000005,0.3408521303258145
38,Norte,1101302,Mirante da Serra,24566.5,RO,"Administração, defesa, educação e saúde públicas e seguridade social",16869.515,10690.997944355118,10.930000000000007,0.3986194995685936
39,Norte,1101401,Monte Negro,24129.89,RO,"Pecuária, inclusive apoio à pecuária",20921.432,16158.001590558431,10.849999999999994,0.7825475017593244
40,Norte,1101435,Nova União,23060.8,RO,"Pecuária, inclusive apoio à pecuária",5822.622,6822.001448345244,10.299999999999997,0.3777112939416604
41,Norte,1101450,Parecis,24597.92,RO,"Pecuária, inclusive apoio à pecuária",5087.879,6319.00002114,10.469999999999999,0.1824051654560129
42,Norte,1101468,Pimenteiras do Oeste,115753.94,RO,"Agricultura, inclusive apoio à agricultura e a pós colheita",8203.295,2126.999918966041,6.849999999999994,0.5077519379844961
43,Norte,1101476,Primavera de Rondônia,39684.71,RO,"Pecuária, inclusive apoio à pecuária",3634.142,2697.000078871686,12.540000000000006,0.4977578475336323
44,Norte,1101484,São Felipe D'Oeste,26335.31,RO,"Pecuária, inclusive apoio à pecuária",5630.011,4961.999877730696,10.189999999999998,
45,Norte,1101492,São Francisco do Guaporé,23143.16,RO,"Pecuária, inclusive apoio à pecuária",29161.354,21087.996971891476,8.14,0.724939717533586
46,Norte,1101500,Seringueiras,28109.66,RO,"Pecuária, inclusive apoio à pecuária",23425.413,11845.998350744903,7.269999999999996,0.5726711560044894
47,Norte,1101559,Teixeirópolis,29158.81,RO,"Pecuária, inclusive apoio à pecuária",5024.11,4159.999636473505,10.040000000000006,0.3581730769230769
48,Norte,1101609,Theobroma,24876.86,RO,"Pecuária, inclusive apoio à pecuária",8535.114,10348.001878050525,11.620000000000005,0.6524822695035462
49,Norte,1101708,Urupá,24682.0,RO,"Pecuária, inclusive apoio à pecuária",13576.547,11081.00129649137,9.760000000000005,0.298551800965466
50,Norte,1101757,Vale do Anari,19106.79,RO,"Administração, defesa, educação e saúde públicas e seguridade social",8710.287,11545.000808613062,11.650000000000006,0.6414401175606171
51,Norte,1101807,Vale do Paraíso,28605.27,RO,"Pecuária, inclusive apoio à pecuária",6736.621,6489.99963992649,10.5,0.5287356321839081
52,Norte,1200013,Acrelândia,25362.56,AC,"Administração, defesa, educação e saúde públicas e seguridade social",21128.059,15721.003084862095,11.650000000000006,0.517829457364341
53,Norte,1200054,Assis Brasil,17507.67,AC,"Administração, defesa, educação e saúde públicas e seguridade social",2574.671,7649.000409534793,14.700000000000003,0.6300813008130082
54,Norte,1200104,Brasiléia,25278.78,AC,"Administração, defesa, educação e saúde públicas e seguridade social",80025.399,27122.995057514643,10.989999999999995,0.5556978233034571
55,Norte,1200138,Bujari,28455.38,AC,"Pecuária, inclusive apoio à pecuária",4780.076,10571.999565635742,18.739999999999995,0.5292050944224858
56,Norte,1200179,Capixaba,41722.55,AC,"Agricultura, inclusive apoio à agricultura e a pós colheita",9386.843,12279.999520642912,15.730000000000004,0.5665648188563945
57,Norte,1200203,Cruzeiro do Sul,22934.82,AC,"Administração, defesa, educação e saúde públicas e seguridade social",194005.732,89760.009845292,13.760000000000005,0.8672243800418286
58,Norte,1200252,Epitaciolândia,33960.77,AC,"Administração, defesa, educação e saúde públicas e seguridade social",70965.636,18979.00141840129,11.219999999999999,0.5662930034789331
59,Norte,1200302,Feijó,16207.64,AC,"Administração, defesa, educação e saúde públicas e seguridade social",17689.272,34985.99968903555,22.650000000000006,0.5119287151480311
60,Norte,1200328,Jordão,13209.92,AC,"Administração, defesa, educação e saúde públicas e seguridade social",1823.793,8628.001380780503,18.120000000000005,0.44193548387096776
61,Norte,1200336,Mâncio Lima,13704.87,AC,"Administração, defesa, educação e saúde públicas e seguridade social",5857.226,19643.00558852437,15.730000000000004,0.8419849073862337
62,Norte,1200344,Manoel Urbano,19060.27,AC,"Administração, defesa, educação e saúde públicas e seguridade social",9124.712,9701.001349928409,22.159999999999997,0.4405893536121673
63,Norte,1200351,Marechal Thaumaturgo,13020.98,AC,"Administração, defesa, educação e saúde públicas e seguridade social",3440.635,19726.99766069835,22.83,0.874924653405666
64,Norte,1200385,Plácido de Castro,29854.1,AC,"Agricultura, inclusive apoio à agricultura e a pós colheita",26769.274,20146.998502718223,15.620000000000005,0.7326923076923076
65,Norte,1200393,Porto Walter,12845.86,AC,"Administração, defesa, educação e saúde públicas e seguridade social",2822.901,12497.002847610049,18.900000000000006,0.9923990498812352
66,Norte,1200401,Rio Branco,26119.02,AC,Demais serviços,1507113.683,419451.98774686037,6.959999999999994,0.7096582330603468
67,Norte,1200427,Rodrigues Alves,12933.1,AC,"Administração, defesa, educação e saúde públicas e seguridade social",3069.86,19766.997548924854,20.040000000000006,0.5091070635273212
68,Norte,1200435,Santa Rosa do Purus,15747.15,AC,"Administração, defesa, educação e saúde públicas e seguridade social",1532.426,6893.000257189396,22.599999999999994,0.2554517133956386
