percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.0584609806942807,1100023,ARIQUEMES,5667.37,RO,11.1,2002
0.0379512496143165,1100031,CABIXI,4246.99,RO,16.8,2002
0.5119341821253167,1100049,CACOAL,6353.27,RO,11.5,2002
0.0433576135969476,1100056,CEREJEIRAS,4442.47,RO,12.4,2002
0.0522570150467669,1100064,COLORADO DO OESTE,4253.57,RO,13.2,2002
0.1092187077588537,1100072,CORUMBIARA,4493.57,RO,17.7,2002
0.2751898734177215,1100080,COSTA MARQUES,3664.15,RO,15.6,2002
0.1505505988264609,1100098,ESPIGAO D'OESTE,4516.81,RO,14.7,2002
0.0636374690932674,1100114,JARU,5604.51,RO,14.7,2002
0.0650397933906077,1100155,OURO PRETO DO OESTE,4695.64,RO,13.6,2002
0.1452156111734795,1100189,PIMENTA BUENO,5703.07,RO,12.2,2002
0.1531918797426051,1100205,PORTO VELHO,6594.74,RO,7.7,2002
0.0773036487322201,1100262,RIO CRESPO,4865.28,RO,15.3,2002
0.3265193922431028,1100288,ROLIM DE MOURA,4781.96,RO,13.8,2002
0.0329688067471046,1100304,VILHENA,7683.32,RO,8.8,2002
0.3419900347274649,1100320,SAO MIGUEL DO GUAPORE,2759.63,RO,15.8,2002
0.1299446607911457,1100338,NOVA MAMORE,3030.6,RO,17.2,2002
0.3074974670719351,1100379,ALTO ALEGRE DOS PARECIS,3349.49,RO,17.4,2002
0.3465856801030738,1100502,NOVO HORIZONTE DO OESTE,3718.56,RO,16.9,2002
0.1101017441860465,1100601,CACAULANDIA,5123.29,RO,11.5,2002
0.0801626488527447,1100700,CAMPO NOVO DE RONDONIA,2442.61,RO,16.3,2002
0.199515998924442,1100809,CANDEIAS DO JAMARI,4162.08,RO,14.6,2002
0.4180887372013652,1100908,CASTANHEIRAS,4430.41,RO,14.1,2002
0.3606162734713529,1100924,CHUPINGUAIA,6313.5,RO,14.6,2002
0.0810712993123416,1100940,CUJUBIM,4471.06,RO,18.3,2002
0.0998764415156507,1101005,GOVERNADOR JORGE TEIXEIRA,2811.94,RO,19.3,2002
0.2074006395614435,1101104,ITAPUA DO OESTE,4961.34,RO,17.5,2002
0.4204571169947952,1101203,MINISTRO ANDREAZZA,3340.31,RO,19.7,2002
0.1384984573191635,1101302,MIRANTE DA SERRA,3340.63,RO,18.6,2002
0.0548720952938879,1101401,MONTE NEGRO,3467.82,RO,15.6,2002
0.2801033591731266,1101450,PARECIS,4591.24,RO,19.8,2002
0.0659553831231813,1101468,PIMENTEIRAS DO OESTE,5766.84,RO,13.6,2002
0.3197189284145806,1101476,PRIMAVERA DE RONDONIA,4183.08,RO,16.1,2002
0.3122992198256081,1101492,SAO FRANCISCO DO GUAPORE,3455.24,RO,15.2,2002
0.3197476952935468,1101500,SERINGUEIRAS,2950.75,RO,15.0,2002
0.0577267837934743,1101559,TEIXEIROPOLIS,3523.21,RO,17.4,2002
0.0788994997726239,1101609,THEOBROMA,3245.34,RO,17.7,2002
0.0716895771706977,1101708,URUPA,2972.37,RO,16.1,2002
0.1922238372093023,1101757,VALE DO ANARI,2719.08,RO,19.5,2002
0.0644932671863926,1101807,VALE DO PARAISO,3438.95,RO,15.0,2002
0.1947226972880527,1200013,ACRELANDIA,4477.08,AC,28.7,2002
0.0836397058823529,1200054,ASSIS BRASIL,3454.52,AC,27.9,2002
0.0335911068148864,1200104,BRASILEIA,4025.64,AC,24.0,2002
0.2352195945945946,1200138,BUJARI,3929.26,AC,37.6,2002
0.1413824057450628,1200179,CAPIXABA,5176.41,AC,39.1,2002
0.336228138710259,1200203,CRUZEIRO DO SUL,3506.59,AC,26.4,2002
0.336228138710259,1200203,CRUZEIRO DO SUL,3506.59,AC,14.5,2002
0.336228138710259,1200203,CRUZEIRO DO SUL,3506.59,AC,5.2,2002
0.0903728173666824,1200252,EPITACIOLANDIA,4351.77,AC,23.4,2002
0.0232118758434547,1200302,FEIJO,2423.97,AC,56.5,2002
0.2779456193353474,1200328,JORDAO,3201.7,AC,62.3,2002
0.3277621011504232,1200336,MANCIO LIMA,2529.14,AC,29.5,2002
0.2914428929466523,1200351,MARECHAL THAUMATURGO,3189.37,AC,51.8,2002
0.0855568944740919,1200385,PLACIDO DE CASTRO,3337.5,AC,24.5,2002
0.4361252115059221,1200393,PORTO WALTER,3224.14,AC,52.6,2002
0.2175039675779393,1200401,RIO BRANCO,6597.04,AC,12.8,2002
0.2175039675779393,1200401,RIO BRANCO,6597.04,AC,22.3,2002
0.3798636181307661,1200427,RODRIGUES ALVES,3099.51,AC,50.7,2002
0.2062210456651224,1200450,SENADOR GUIOMARD,3390.82,AC,24.8,2002
0.0359281437125748,1200500,SENA MADUREIRA,3999.54,AC,32.1,2002
0.1808302542925451,1200609,TARAUACA,2909.82,AC,42.6,2002
0.0512253917235837,1200708,XAPURI,3382.09,AC,28.1,2002
0.2166366095581605,1200807,PORTO ACRE,3300.29,AC,28.9,2002
0.2526193247962747,1300029,ALVARAES,2344.57,AM,25.7,2002
0.2530186608122942,1300060,AMATURA,1533.36,AM,25.0,2002
0.6258087706685838,1300086,ANAMA,2664.62,AM,24.6,2002
0.474580579562786,1300102,ANORI,2203.97,AM,25.6,2002
0.0083023189235614,1300144,APUI,2365.69,AM,18.0,2002
0.6270242914979757,1300201,ATALAIA DO NORTE,1905.08,AM,50.6,2002
0.4515536908351907,1300300,AUTAZES,2890.66,AM,18.9,2002
0.1477176070314715,1300409,BARCELOS,1234.79,AM,41.2,2002
0.029105473965287,1300508,BARREIRINHA,1756.44,AM,14.8,2002
0.1945622349713145,1300607,BENJAMIN CONSTANT,2362.63,AM,28.4,2002
0.1264676283126467,1300631,BERURI,1972.4,AM,40.1,2002
