Cargo;Município;Nome candidato;Número candidato;Código município;Zona;Votos nominais;Data de carga
Deputado Estadual;SÃO JOÃO DE MERITI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59013;186;36;2025-09-07 03:30:58
Deputado Estadual;SÃO JOÃO DE MERITI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59013;88;29;2025-09-07 03:30:58
Deputado Estadual;PARATY;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58750;57;0;2025-09-07 03:30:58
Deputado Estadual;SAQUAREMA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59099;62;16;2025-09-07 03:30:58
Deputado Estadual;NITERÓI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58653;199;9;2025-09-07 03:30:58
Deputado Estadual;TANGUÁ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58360;151;3;2025-09-07 03:30:58
Deputado Estadual;VOLTA REDONDA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59250;90;6;2025-09-07 03:30:58
Deputado Estadual;SÃO SEBASTIÃO DO ALTO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59056;60;0;2025-09-07 03:30:58
Deputado Estadual;MENDES;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58556;56;0;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;119;68;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;125;91;2025-09-07 03:30:58
Deputado Estadual;ARARUAMA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58033;92;6;2025-09-07 03:30:58
Deputado Estadual;ANGRA DOS REIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58017;147;5;2025-09-07 03:30:58
Deputado Estadual;BELFORD ROXO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58041;153;35;2025-09-07 03:30:58
Deputado Estadual;BELFORD ROXO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58041;154;25;2025-09-07 03:30:58
Deputado Estadual;CANTAGALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58211;101;0;2025-09-07 03:30:58
Deputado Estadual;QUATIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58025;183;0;2025-09-07 03:30:58
Deputado Estadual;SÃO PEDRO DA ALDEIA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59030;59;0;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;162;81;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;9;126;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;23;1048;2025-09-07 03:30:58
Deputado Estadual;SÃO GONÇALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58971;132;14;2025-09-07 03:30:58
Deputado Estadual;QUISSAMÃ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58009;255;2;2025-09-07 03:30:58
Deputado Estadual;CARDOSO MOREIRA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58068;141;0;2025-09-07 03:30:58
Deputado Estadual;SÃO JOSÉ DO VALE DO RIO PRETO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;59331;196;0;2025-09-07 03:30:58
Deputado Estadual;JAPERI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58149;139;20;2025-09-07 03:30:58
Deputado Estadual;SANTO ANTÔNIO DE PÁDUA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58939;34;2;2025-09-07 03:30:58
Deputado Estadual;MESQUITA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58467;83;12;2025-09-07 03:30:58
Deputado Estadual;SÃO GONÇALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58971;69;7;2025-09-07 03:30:58
Deputado Estadual;GUAPIMIRIM;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58106;149;7;2025-09-07 03:30:58
Deputado Estadual;NILÓPOLIS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58637;221;60;2025-09-07 03:30:58
Deputado Estadual;QUEIMADOS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58122;138;17;2025-09-07 03:30:58
Deputado Estadual;ITATIAIA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58440;198;3;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;219;685;2025-09-07 03:30:58
Deputado Estadual;RIO DE JANEIRO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;60011;230;101;2025-09-07 03:30:58
Deputado Estadual;MAGÉ;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58491;148;5;2025-09-07 03:30:58
Deputado Estadual;CAMBUCI;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58173;97;0;2025-09-07 03:30:58
Deputado Estadual;BOM JESUS DO ITABAPOANA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58114;95;0;2025-09-07 03:30:58
Deputado Estadual;NOVA FRIBURGO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58670;26;2;2025-09-07 03:30:58
Deputado Estadual;SÃO GONÇALO;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58971;87;14;2025-09-07 03:30:58
Deputado Estadual;DUAS BARRAS;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58319;42;0;2025-09-07 03:30:58
Deputado Estadual;SÃO FRANCISCO DE ITABAPOANA;TIEGO RAIMUNDO DOS SANTOS SILVA;15123;58289;130;0;2025-09-07 03:30:58
